จังหวัด,จำนวน อปท. ที่กรอกข้อมูล,จำนวนถนนลูกรัง(สาย),จำนวนถนนลาดยาง(สาย),จำนวนถนนคอนกรีต(สาย),จำนวนถนนอื่นๆ(สาย),จำนวนสะพานคอนกรีต(แห่ง),จำนวนสะพานเหล็ก(แห่ง),จำนวนสะพานไม้(แห่ง),จำนวนสะพานอื่นๆ(แห่ง),จำนวนแม่น้ำที่ไหลผ่าน(สาย),จำนวนห้วย / หนอง / คลอง / บึง(แห่ง/สาย),จำนวนคลองชลประทาน(แห่ง),จำนวนบ่อบาดาลสาธารณะ(แห่ง),จำนวนบ่อบาดาลเอกชน(แห่ง),จำนวนบ่อน้ำตื้นสาธารณะ(แห่ง),จำนวนบ่อน้ำตื้นเอกชน(แห่ง),จำนวนครัวเรือนมีน้ำประปาใช้(ครัวเรือน),จำนวนครัวเรือนที่ไม่มีน้ำประปาใช้(ครัวเรือน),ไฟฟ้าที่ผลิตโดยการไฟฟ้านครหลวงหรือการไฟฟ้าส่วนภูมิภาคคิดเป็นร้อยละ(ของพื้นที่),จำนวนครัวเรือนที่มีไฟฟ้าใช้(ครัวเรือน),จำนวนครัวเรือนที่ไม่มีไฟฟ้าใช้(ครัวเรือน)
กระบี่,62,1820,854,1187,121,404,0,44,7,67,642,34,781,238,1523,362,103200,28257,4750,122265,7063
กาญจนบุรี,122,3364,3231,3554,493,583,59,45,7,82,734,150,2407,2683,1290,647,253309,35154,9247,250213,26352
กาฬสินธุ์,151,5929,1380,6087,852,731,18,109,72,116,2084,229,3767,1606,1136,1659,256083,34936,13745,480074,13926
กำแพงเพชร,90,3304,1149,2920,363,295,6,3,14,53,1045,149,3097,7853,4912,1055,193984,32087,7199,174479,7402
ขอนแก่น,225,6987,2098,13656,1859,656,14,80,78,171,3676,315,4630,3152,4484,1989,500507,33943,23141,577687,1369
จันทบุรี,82,3842,1329,2437,411,559,13,25,146,76,1022,40,1485,3008,2544,6192,122513,45258,16361,162893,3656
ฉะเชิงเทรา,109,9028,4540,16415,734,624,22,239,75,48,1438,229,1586,117,1333,985,172196,44972,12130,218023,3373
ชลบุรี,99,2564,3268,5214,195,6325,3,15,72,19,794,530,965,490,2537,1230,431017,129654,22942,659454,41259
ชัยนาท,60,3097,635,1859,159,265,120,46,8,57,469,167,2164,984,1026,294,106792,4951,4342,100747,671
ชัยภูมิ,143,9911,846,9242,1139,616,26,75,41,145,2213,214,3265,1503,636,1194,314299,14949,12192,321458,9818
ชุมพร,79,3677,720,1669,720,688,14,63,18,119,1897,27,1227,166,3220,4590,163430,50386,7290,334244,16840
เชียงราย,144,4494,1561,11643,1013,1370,77,95,136,259,2421,207,2202,1395,9159,12013,326286,78082,11916,435766,23098
เชียงใหม่,211,7538,4299,9136,594,1951,38,290,201,502,3651,215,4104,4935,9181,14007,528067,91341,18807,574722,23379
ตรัง,100,2245,2093,1644,417,538,6,55,96,88,1227,67,1130,95,2282,5569,134939,22106,7999,326934,3692
ตราด,44,1647,348,1546,4,492,2,38,14,22,519,32,943,133,818,424,58065,32957,4484,65328,2156
ตาก,69,1793,740,2299,160,411,8,72,52,74,680,124,2191,282,1453,138,151658,8204,6915,270176,18649
นครนายก,46,816,568,869,109,236,9,72,21,51,795,136,452,31,1151,253,70497,74131,2943,62773,1679
นครปฐม,117,1539,3034,2046,457,1054,25,106,34,77,1273,229,2003,110,48,4,275011,17818,12665,345380,7120
นครพนม,104,2608,354,5030,241,275,8,44,30,260,1746,132,2979,2084,642,741,143452,19364,11144,126606,3120
นครราชสีมา,334,7942,2866,14697,4877,946,48,99,107,283,4409,499,4969,3011,4457,2590,723093,55221,29763,2101382,22377
นครศรีธรรมราช,185,11113,2490,5333,2802,2163,33,55,107,293,4300,476,3741,8560,4205,16365,277329,151618,16695,436774,17166
นครสวรรค์,143,4495,1064,4803,865,470,23,35,29,111,1865,155,3350,5399,459,1472,312453,40950,12514,305620,3089
นนทบุรี,46,199,456,1917,294,596,9,83,64,35,1079,80,77,0,2,50,465311,4006,4375,468066,0
นราธิวาส,89,982,968,3281,439,990,7,56,47,122,656,101,485,202,3807,7565,77510,65511,17645,129611,4455
น่าน,100,1631,381,3903,348,690,24,111,135,235,1545,144,1217,538,5358,3434,108446,19774,7757,129914,3488
บึงกาฬ,60,1598,255,2391,203,289,2,18,53,75,1233,36,1493,848,957,222,92696,9764,6604,86405,2206
บุรีรัมย์,208,4870,1363,9162,3284,335,2,24,56,147,2792,225,2916,5397,1154,965,323320,39979,18346,333539,6396
ปทุมธานี,65,772,988,1386,164,601,245,157,44,40,327,133,408,93,1,1,374955,18970,5061,337307,1147
ประจวบคีรีขันธ์,61,2986,1366,2206,463,379,15,22,30,113,1222,122,795,93,397,411,150390,18492,4023,177798,10839
ปราจีนบุรี,70,1915,753,2215,150,279,3,17,5,65,1073,133,1665,292,4101,3862,125348,21388,5997,126940,666
ปัตตานี,114,1160,852,2565,422,473,4,24,47,84,416,157,547,277,2630,9490,106539,34756,8639,170593,4922
พระนครศรีอยุธยา,158,1504,900,3808,199,978,86,371,72,111,1140,380,999,145,41,61,275556,4871,15300,280238,489
พะเยา,72,2281,525,4437,233,633,4,46,47,210,899,159,1314,399,4583,5040,139030,22010,6792,311854,2141
พังงา,52,973,446,1747,155,674,6,27,51,64,587,20,417,49,2432,3018,55016,18425,3952,67542,3003
พัทลุง,74,3268,1044,2072,425,1035,23,103,116,436,1187,240,1295,484,1151,3170,155462,17620,7137,332080,1402
พิจิตร,102,3180,539,3523,448,420,18,32,27,65,1713,130,1500,2765,820,1665,149805,6621,8429,163923,1147
พิษณุโลก,103,3979,1210,4389,750,453,8,94,66,200,1762,140,2205,6568,5099,2098,224490,30423,9599,262247,13420
เพชรบุรี,85,2140,915,3146,210,556,14,188,15,51,669,166,735,559,150,36,132402,15539,9320,117995,4392
เพชรบูรณ์,128,4273,509,5017,812,913,34,44,111,164,1652,56,3880,4493,1693,522,227241,67906,10270,228677,8828
แพร่,84,1604,774,4954,111,679,2,30,40,106,754,100,739,1303,1525,3180,140383,18468,7347,286954,3473
ภูเก็ต,19,120,724,799,22,125,1,1,17,12,91,7,69,113,53,3509,118669,32734,1699,159707,2466
มหาสารคาม,143,2446,646,24681,1214,422,3,28,89,125,1881,168,2555,1823,647,1094,239380,17278,12953,239481,6776
มุกดาหาร,55,1885,363,1790,259,273,14,62,30,87,752,146,1485,134,869,195,82385,4913,4688,80652,2138
แม่ฮ่องสอน,50,248,147,803,190,273,5,103,73,118,508,84,328,58,211,173,75273,5630,3370,60125,17456
ยโสธร,88,2629,501,3754,991,489,3,36,56,119,1610,98,2207,596,2407,582,139630,8980,11461,123188,186
ยะลา,64,930,1077,1601,199,555,22,17,10,83,424,27,331,8760,772,1246,85483,52493,6012,129981,5529
ร้อยเอ็ด,203,6108,1071,10026,1322,581,10,70,84,196,3025,319,4456,4437,3767,2070,502106,52933,19859,295961,12233
ระนอง,31,749,335,645,24,361,7,100,29,30,549,1,441,144,531,176,56223,11892,2498,131781,2934
ระยอง,68,2970,2007,3359,258,476,2,10,20,68,605,65,1951,1004,3098,4477,232890,65850,7514,301021,29068
ราชบุรี,112,2207,3601,2507,388,786,42,92,107,44,825,210,1308,298,417,281,269412,15595,11976,263690,4314
ลพบุรี,126,2731,969,4140,453,572,34,109,23,82,1102,232,8314,548,232,188,283415,14277,11950,388354,583
ลำปาง,104,2772,1225,7644,297,965,20,100,92,191,1396,88,1246,861,3596,2631,222239,28238,10339,222690,4220
ลำพูน,58,2356,1028,4502,63,601,23,52,27,147,790,69,2390,2255,234,1645,145487,8343,4242,138362,846
เลย,101,2737,752,3845,466,425,12,67,61,144,1048,100,2104,477,1267,290,172991,6184,10561,186150,1278
ศรีสะเกษ,217,20366,13467,15381,3282,460,14,51,148,155,4219,227,4608,24184,4080,4659,211343,101671,27990,296704,13846
สกลนคร,141,5568,1051,6730,943,703,51,76,70,155,2801,328,3441,3659,1317,1069,245148,54307,16498,302168,10664
สงขลา,141,4592,3252,4544,568,1211,8,148,103,168,1227,178,1979,4983,4257,10163,314663,95016,12726,416549,5519
สตูล,42,844,679,838,449,386,1,32,18,46,383,28,505,252,456,2578,75866,17146,4133,159041,3968
สมุทรปราการ,49,457,221,2953,364,599,38,277,410,19,894,32,445,25,1,0,592589,27261,22035,408275,0
สมุทรสงคราม,36,266,513,345,134,659,4,143,36,24,481,14,159,16,0,0,38961,1760,2568,50447,508
สมุทรสาคร,38,376,326,1091,118,637,15,127,68,20,2420,481,491,12,1,1,251915,7810,7932,189395,1401
สระแก้ว,66,2297,475,2111,154,228,0,17,8,46,928,88,1745,894,945,5083,141310,17739,4856,134203,2563
สระบุรี,109,1621,975,3058,94,500,39,88,21,68,510,177,1947,855,1472,85,186093,16505,9355,175138,852
สิงห์บุรี,42,1103,285,1675,127,327,75,109,2,37,1115,107,1212,1542,83,57,65944,778,3854,70634,1585
สุโขทัย,91,4419,765,3577,142,417,3,32,60,103,1265,140,1828,2073,1830,1295,166176,13942,8607,176622,5406
สุพรรณบุรี,127,3235,1056,3622,2158,749,111,150,55,105,752,419,1726,1132,660,528,235537,24715,11615,241731,7255
สุราษฎร์ธานี,138,3795,2722,2723,946,1135,14,60,67,214,1861,92,1701,1779,2835,11544,258001,119344,15992,366543,19118
สุรินทร์,173,3265,977,6167,3506,562,17,24,64,145,2964,211,6101,10402,1756,2568,199445,85341,17653,279437,7668
หนองคาย,68,16694,192,3110,125,229,0,10,11,82,1001,126,1116,309,529,478,114593,16669,5395,98415,2613
หนองบัวลำภู,68,1899,484,2505,517,182,4,36,31,123,836,69,1702,1061,349,27,108813,9764,5213,109974,1215
อ่างทอง,65,1329,459,2168,208,380,134,162,11,40,359,159,515,359,24,62,75368,3912,5372,72903,1121
อำนาจเจริญ,64,1732,247,1859,224,302,0,98,42,90,914,63,1524,357,426,81,88201,5481,6543,92554,1765
