จังหวัด,จำนวน อปท. ที่กรอกข้อมูล,จำนวนถนนลูกรัง(สาย),จำนวนถนนลาดยาง(สาย),จำนวนถนนคอนกรีต(สาย),จำนวนถนนอื่นๆ(สาย),จำนวนสะพานคอนกรีต(แห่ง),จำนวนสะพานเหล็ก(แห่ง),จำนวนสะพานไม้(แห่ง),จำนวนสะพานอื่นๆ(แห่ง),จำนวนแม่น้ำที่ไหลผ่าน(สาย),จำนวนห้วย / หนอง / คลอง / บึง(แห่ง/สาย),จำนวนคลองชลประทาน(แห่ง),จำนวนบ่อบาดาลสาธารณะ(แห่ง),จำนวนบ่อบาดาลเอกชน(แห่ง),จำนวนบ่อน้ำตื้นสาธารณะ(แห่ง),จำนวนบ่อน้ำตื้นเอกชน(แห่ง),จำนวนครัวเรือนมีน้ำประปาใช้(ครัวเรือน),จำนวนครัวเรือนที่ไม่มีน้ำประปาใช้(ครัวเรือน),ไฟฟ้าที่ผลิตโดยการไฟฟ้านครหลวงหรือการไฟฟ้าส่วนภูมิภาคคิดเป็นร้อยละ(ของพื้นที่),จำนวนครัวเรือนที่มีไฟฟ้าใช้(ครัวเรือน),จำนวนครัวเรือนที่ไม่มีไฟฟ้าใช้(ครัวเรือน),Unnamed: 22,Unnamed: 23
กระบี่,62,"1,889",908,"1,285",129,406,0,30,10,67,672,36,793,279,"1,568",391,"105,845","28,774","4,956","130,495","3,685",,
กาญจนบุรี,122,"3,389","3,476","3,841",592,542,38,41,8,82,738,150,"2,469","2,662","1,327",780,"255,526","28,701","9,346","262,282","26,508",,
กาฬสินธุ์,151,"5,436","1,446","6,330",944,681,18,108,111,136,"2,054",232,"2,964","1,523","1,170","1,516","262,559","34,398","12,633","492,740","13,503",,
กำแพงเพชร,90,"3,448","1,056","3,153",294,343,6,7,49,52,"1,084",155,"3,528","8,818","4,410","1,752","209,147","25,712","7,629","198,466","7,102",,
ขอนแก่น,225,"6,852","2,070","14,570","1,976",643,14,80,123,169,"3,910",298,"4,850","3,100","1,864","2,148","527,727","11,865","23,148","524,171","1,509",,
จันทบุรี,82,"3,775","1,337","2,728",648,511,19,19,117,67,"1,046",52,"1,488","2,765","2,574","6,553","130,833","45,100","16,447","171,087","3,255",,
ฉะเชิงเทรา,109,"9,024","4,566","16,533",780,781,29,221,70,49,"1,498",237,"1,593",134,"1,313","1,073","201,220","42,151","10,550","230,697","3,100",,
ชลบุรี,99,"1,999","2,935","5,370",227,"6,260",69,15,80,18,836,524,"1,002",525,"2,374","1,537","548,986","113,096","23,050","739,416","39,886",,
ชัยนาท,60,"3,267",649,"2,104",359,275,122,47,8,53,592,171,"2,149",982,"1,025",296,"117,027","4,389","4,450","119,215",489,,
ชัยภูมิ,143,"10,174","1,024","9,392","1,077",686,28,56,41,159,"2,225",231,"2,827","1,641",706,"2,462","331,987","10,749","12,307","334,049","5,594",,
