จังหวัด,"จำนวน อปท. 
ที่กรอกข้อมูล","จำนวนสถาน
ธนานุบาลในสังกัด (แห่ง)","จำนวนโรง
ฆ่าสัตว์ของ
อปท (แห่ง)","จำนวนโรง
ฆ่าสัตว์ของ
รัฐ (แห่ง)","จำนวนโรง
ฆ่าสัตว์ของ
เอกชน (แห่ง)"
กระบี่,62,6.0,4.0,0.0,8
กาญจนบุรี,122,6.0,6.0,3.0,58
กาฬสินธุ์,151,11.0,15.0,14.0,40
กำแพงเพชร,90,5.0,6.0,1.0,16
ขอนแก่น,225,217.0,13.0,7.0,18
จันทบุรี,82,5.0,5.0,2.0,10
ฉะเชิงเทรา,109,15.0,2.0,1.0,50
ชลบุรี,99,11.0,8.0,1.0,54
ชัยนาท,60,3.0,3.0,1.0,9
ชัยภูมิ,143,11.0,13.0,3.0,33
ชุมพร,79,5.0,5.0,2.0,2
เชียงราย,144,7.0,16.0,0.0,7
เชียงใหม่,211,15.0,11.0,1.0,31
ตรัง,100,8.0,7.0,0.0,2
ตราด,44,2.0,4.0,2.0,6
ตาก,69,6.0,14.0,2.0,9
นครนายก,46,6.0,3.0,0.0,3
นครปฐม,117,9.0,7.0,9.0,63
นครพนม,104,1.0,8.0,1.0,8
นครราชสีมา,334,26.0,9.0,3.0,69
นครศรีธรรมราช,185,15.0,9.0,78.0,18
นครสวรรค์,143,13.0,12.0,0.0,31
นนทบุรี,46,15.0,0.0,1.0,1
นราธิวาส,89,6.0,6.0,1.0,3
น่าน,100,6.0,10.0,3.0,17
บึงกาฬ,60,1.0,7.0,1.0,2
บุรีรัมย์,209,17.0,6.0,5.0,30
ปทุมธานี,65,6.0,1.0,0.0,11
ประจวบคีรีขันธ์,61,3.0,7.0,2.0,27
ปราจีนบุรี,70,5.0,6.0,0.0,26
ปัตตานี,114,7.0,6.0,0.0,8
พระนครศรีอยุธยา,158,18.0,6.0,0.0,8
พะเยา,72,3.0,11.0,8.0,38
พังงา,52,3.0,4.0,0.0,5
พัทลุง,74,5.0,9.0,11.0,13
พิจิตร,102,8.0,9.0,1.0,37
พิษณุโลก,103,3.0,11.0,0.0,54
เพชรบุรี,85,8.0,3.0,3.0,81
เพชรบูรณ์,128,7.0,7.0,5.0,14
แพร่,84,5.0,11.0,4.0,17
ภูเก็ต,19,5.0,1.0,0.0,5
มหาสารคาม,143,4.0,11.0,2.0,13
มุกดาหาร,55,4.0,4.0,0.0,1
แม่ฮ่องสอน,50,3.0,7.0,2.0,10
ยโสธร,88,5.0,12.0,3.0,11
ยะลา,64,5.0,3.0,0.0,5
ร้อยเอ็ด,203,12.0,29.0,0.0,40
ระนอง,31,3.0,6.0,0.0,0
ระยอง,68,8.0,7.0,0.0,19
ราชบุรี,112,10.0,6.0,7.0,38
ลพบุรี,126,9.0,8.0,1.0,10
ลำปาง,104,4.0,16.0,0.0,8
ลำพูน,58,6.0,2.0,2.0,30
เลย,101,5.0,8.0,0.0,21
ศรีสะเกษ,217,15.0,10.0,5.0,87
สกลนคร,141,8.0,19.0,0.0,11
สงขลา,141,17.0,5.0,0.0,13
สตูล,42,3.0,1.0,0.0,4
สมุทรปราการ,49,18.0,0.0,3.0,5
สมุทรสงคราม,36,5.0,0.0,0.0,0
สมุทรสาคร,38,5.0,1.0,0.0,2
สระแก้ว,66,4.0,5.0,1.0,23
สระบุรี,109,9.0,8.0,0.0,11
สิงห์บุรี,42,2.0,4.0,3.0,3
สุโขทัย,91,5.0,7.0,0.0,7
สุพรรณบุรี,127,5.0,6.0,1.0,15
สุราษฎร์ธานี,138,9.0,6.0,0.0,10
สุรินทร์,173,22.0,10.0,1.0,11
หนองคาย,68,4.0,9.0,2.0,5
หนองบัวลำภู,68,5.0,13.0,0.0,6
อ่างทอง,65,8.0,5.0,1.0,39
อำนาจเจริญ,64,1.0,1.0,0.0,27
อุดรธานี,181,14.0,18.0,6.0,14
อุตรดิตถ์,80,2.0,3.0,2.0,7
อุทัยธานี,64,7.0,5.0,0.0,32
อุบลราชธานี,239,27.0,17.0,7.0,50
รวม,"7,852",807.0,573.0,225.0,"1,530"
ข้อมูล ณ วันที่ 06/06/2559 12:13,,,,,
