ตารางแสดงปริมาณ น้ำมันเบนซิน ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
สาขา อื่น ๆ,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,
,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เชฟรอน(ไทย),ซัสโก้,พีทีจี,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
,กรุงเทพฯ และปริมณฑล,,26,112,,,,,18,156
1,กรุงเทพมหานคร,,26,66,,,,,18,110
2,สมุทรปราการ,,,,,,,,,
3,นนทบุรี,,,15,,,,,,15
4,ปทุมธานี,,,31,,,,,,31
,ภาคกลาง,,,73,,,,,10,83
5,พระนครศรีอยุธยา,,,73,,,,,,73
6,อ่างทอง,,,,,,,,,
7,ลพบุรี,,,,,,,,10,10
8,สิงห์บุรี,,,,,,,,,
9,ชัยนาท,,,,,,,,,
10,สระบุรี,,,,,,,,,
,ภาคตะวันออก,,16,93,,,,,,109
11,ชลบุรี,,,18,,,,,,18
12,ระยอง,,,,,,,,,
13,จันทบุรี,,16,57,,,,,,73
14,ตราด,,,,,,,,,
15,ฉะเชิงเทรา,,,18,,,,,,18
16,ปราจีนบุรี,,,,,,,,,
17,นครนายก,,,,,,,,,
18,สระแก้ว,,,,,,,,,
,ภาคตะวันออกเฉียงเหนือ,,12,184,,,,,43,239
,ภาคตะวันออกเฉียงเหนือตอนบน,,,138,,,,,,138
19,ขอนแก่น,,,3,,,,,,3
20,อุดรธานี,,,135,,,,,,135
21,เลย,,,,,,,,,
22,หนองคาย,,,,,,,,,
23,มหาสารคาม,,,,,,,,,
24,ร้อยเอ็ด,,,,,,,,,
25,กาฬสินธุ์,,,,,,,,,
26,สกลนคร,,,,,,,,,
27,นครพนม,,,,,,,,,
28,มุกดาหาร,,,,,,,,,
29,บึงกาฬ,,,,,,,,,
,ภาคตะวันออกเฉียงเหนือตอนล่าง,,12,46,,,,,43,101
30,นครราชสีมา,,12,22,,,,,25,59
31,บุรีรัมย์,,,3,,,,,,3
32,สุรินทร์,,,,,,,,9,9
33,ศรีสะเกษ,,,21,,,,,9,30
34,อุบลราชธานี,,,,,,,,,
35,ยโสธร,,,,,,,,,
36,ชัยภูมิ,,,,,,,,,
37,อำนาจเจริญ,,,,,,,,,
38,หนองบัวลำภู,,,,,,,,,
,ภาคเหนือ,,32,29,,,,,34,95
,ภาคเหนือบน,,32,,,,,,34,66
39,เชียงใหม่,,,,,,,,26,26
40,ลำพูน,,,,,,,,,
41,ลำปาง,,,,,,,,8,8
42,อุตรดิตถ์,,,,,,,,,
43,แพร่,,,,,,,,,
44,น่าน,,32,,,,,,,32
45,พะเยา,,,,,,,,,
46,เชียงราย,,,,,,,,,
47,แม่ฮ่องสอน,,,,,,,,,
,ภาคเหนือตอนล่าง,,,29,,,,,,29
48,นครสวรรค์,,,,,,,,,
49,อุทัยธานี,,,,,,,,,
50,กำแพงเพชร,,,,,,,,,
51,ตาก,,,,,,,,,
52,สุโขทัย,,,,,,,,,
53,พิษณุโลก,,,29,,,,,,29
54,พิจิตร,,,,,,,,,
55,เพชรบูรณ์,,,,,,,,,
,ภาคตะวันตก,,,213,,,,,163,375
56,ราชบุรี,,,33,,,,,160,193
57,กาญจนบุรี,,,137,,,,,3,140
58,สุพรรณบุรี,,,,,,,,,
59,นครปฐม,,,27,,,,,,27
60,สมุทรสาคร,,,,,,,,,
61,สมุทรสงคราม,,,,,,,,,
62,เพชรบุรี,,,16,,,,,,16
63,ประจวบคีรีขันธ์,,,,,,,,,
,ภาคใต้,,117,192,19,,,,198,526
,ภาคใต้ตอนบน,,94,47,19,,,,177,337
64,นครศรีธรรมราช,,94,41,3,,,,125,263
65,กระบี่,,,,,,,,,
66,พังงา,,,,,,,,,
67,ภูเก็ต,,,,,,,,,
68,สุราษฎร์ธานี,,,6,16,,,,40,62
69,ระนอง,,,,,,,,12,12
70,ชุมพร,,,,,,,,,
,ภาคใต้ตอนล่าง,,23,145,,,,,21,189
71,สงขลา,,23,145,,,,,21,189
72,สตูล,,,,,,,,,
73,ตรัง,,,,,,,,,
74,พัทลุง,,,,,,,,,
75,ปัตตานี,,,,,,,,,
76,ยะลา,,,,,,,,,
77,นราธิวาส,,,,,,,,,
,ปริมาณรวมทั้งสิ้น,,203,896,19,,,,465,"1,583"
