ตารางแสดงปริมาณ น้ำมันเบนซิน ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
สาขา สถานีบริการ,,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,,
,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เชฟรอน(ไทย),ซัสโก้,พีทีจี,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,ปตท. ค้าปลีก,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
,กรุงเทพฯ และปริมณฑล,302,,"1,619",886,12,,520,968,"2,059","6,367"
1,กรุงเทพมหานคร,280,,"1,143",779,,,332,434,"1,554","4,522"
2,สมุทรปราการ,23,,226,27,,,70,63,82,491
3,นนทบุรี,,,167,20,,,118,253,229,787
4,ปทุมธานี,,,82,60,12,,,219,195,568
,ภาคกลาง,,,119,50,10,,16,119,445,759
5,พระนครศรีอยุธยา,,,54,4,,,16,104,157,335
6,อ่างทอง,,,15,4,4,,,,30,53
7,ลพบุรี,,,14,,,,,3,58,75
8,สิงห์บุรี,,,9,,,,,8,51,68
9,ชัยนาท,,,6,,,,,,42,48
10,สระบุรี,,,21,42,6,,,4,108,181
,ภาคตะวันออก,23,,221,98,110,"4,288",11,343,"1,615","6,709"
11,ชลบุรี,,,109,,70,"4,288",11,248,264,"4,990"
12,ระยอง,,,59,69,,,,14,226,368
13,จันทบุรี,,,,,20,,,,522,542
14,ตราด,,,,,,,,,226,226
15,ฉะเชิงเทรา,,,44,10,,,,81,141,276
16,ปราจีนบุรี,,,9,6,3,,,,136,154
17,นครนายก,4,,,13,17,,,,78,112
18,สระแก้ว,19,,,,,,,(0.0010),23,42
,ภาคตะวันออกเฉียงเหนือ,35,,164,112,74,,,34,"1,749","2,168"
,ภาคตะวันออกเฉียงเหนือตอนบน,15,,79,51,20,,,28,562,755
19,ขอนแก่น,10,,8,23,,,,9,148,198
20,อุดรธานี,,,31,14,20,,,19,74,158
21,เลย,,,15,,,,,,71,86
