จังหวัด,จำนวน อปท. ที่กรอกข้อมูล,จำนวนสวนสาธารณะ(แห่ง),จำนวนห้องสมุดประชาชน(แห่ง),จำนวนลานกีฬา(แห่ง),จำนวนสนามกีฬา(แห่ง)
กระบี่,62,33,18,190,181
กาญจนบุรี,122,119,62,452,417
กาฬสินธุ์,151,124,112,463,326
กำแพงเพชร,90,69,33,349,320
ขอนแก่น,225,204,250,898,893
จันทบุรี,82,63,40,275,278
ฉะเชิงเทรา,109,53,51,274,217
ชลบุรี,99,97,111,363,321
ชัยนาท,60,58,27,200,140
ชัยภูมิ,143,87,95,637,520
ชุมพร,79,42,23,303,176
เชียงราย,144,134,129,697,408
เชียงใหม่,211,164,121,"1,147",637
ตรัง,100,60,17,371,215
ตราด,44,27,17,114,102
ตาก,69,47,23,256,184
นครนายก,46,16,21,159,85
นครปฐม,117,71,46,353,167
นครพนม,104,63,58,388,330
นครราชสีมา,334,286,193,"1,441","1,240"
นครศรีธรรมราช,185,104,57,783,385
นครสวรรค์,143,92,116,716,482
นนทบุรี,46,59,25,341,65
นราธิวาส,89,45,29,323,271
น่าน,100,62,35,414,234
บึงกาฬ,60,36,34,213,198
บุรีรัมย์,209,157,104,843,698
ปทุมธานี,65,73,32,331,172
ประจวบคีรีขันธ์,61,62,19,312,179
ปราจีนบุรี,70,52,34,315,200
ปัตตานี,114,50,43,276,204
พระนครศรีอยุธยา,158,104,63,564,237
พะเยา,72,78,30,278,165
พังงา,52,29,26,177,135
พัทลุง,74,35,40,307,224
พิจิตร,102,64,66,379,246
พิษณุโลก,103,86,49,379,302
เพชรบุรี,85,63,29,225,205
เพชรบูรณ์,128,74,82,575,494
แพร่,84,54,47,284,166
ภูเก็ต,19,39,16,62,62
มหาสารคาม,143,71,101,612,448
มุกดาหาร,55,25,23,154,114
แม่ฮ่องสอน,50,36,55,253,185
ยโสธร,88,72,51,289,318
ยะลา,64,40,20,248,169
ร้อยเอ็ด,203,203,292,617,572
ระนอง,31,36,19,138,91
ระยอง,68,69,33,299,232
ราชบุรี,112,91,53,457,234
ลพบุรี,126,77,31,527,257
ลำปาง,104,88,57,477,371
ลำพูน,58,59,60,327,196
เลย,101,70,56,274,307
ศรีสะเกษ,217,152,155,706,760
สกลนคร,141,91,81,554,503
สงขลา,141,67,56,503,377
สตูล,42,17,9,126,144
สมุทรปราการ,49,57,46,240,124
สมุทรสงคราม,36,15,19,72,53
สมุทรสาคร,38,37,24,134,73
สระแก้ว,66,38,54,351,277
สระบุรี,109,64,61,422,181
สิงห์บุรี,42,50,15,196,135
สุโขทัย,91,40,45,365,271
สุพรรณบุรี,127,86,64,375,277
สุราษฎร์ธานี,138,93,49,470,348
สุรินทร์,173,104,134,597,673
หนองคาย,68,40,55,198,211
หนองบัวลำภู,68,43,55,284,242
อ่างทอง,65,31,39,268,155
อำนาจเจริญ,64,61,45,230,164
อุดรธานี,181,146,112,596,611
อุตรดิตถ์,80,41,36,265,239
อุทัยธานี,64,35,30,220,196
อุบลราชธานี,239,135,171,"1,063",849
รวม,"7,852","5,615","4,629","30,334","22,838"
ข้อมูล ณ วันที่ 06/06/2559 12:14,,,,,
