จังหวัด,จำนวน อปท. ที่กรอกข้อมูล,จำนวนสวนสาธารณะ(แห่ง),จำนวนห้องสมุดประชาชน(แห่ง),จำนวนลานกีฬา(แห่ง),จำนวนสนามกีฬา(แห่ง)
กระบี่,62,31,20,190,184
กาญจนบุรี,122,115,62,439,406
กาฬสินธุ์,151,122,113,453,329
กำแพงเพชร,90,66,33,314,265
ขอนแก่น,225,207,247,909,878
จันทบุรี,82,62,41,253,263
ฉะเชิงเทรา,109,57,51,272,240
ชลบุรี,99,97,113,339,337
ชัยนาท,60,59,33,187,152
ชัยภูมิ,143,87,85,629,526
ชุมพร,79,42,23,291,193
เชียงราย,144,139,129,658,438
เชียงใหม่,211,169,122,1111,652
ตรัง,100,61,17,340,199
ตราด,44,27,17,104,107
ตาก,69,44,22,255,181
นครนายก,46,16,21,158,87
นครปฐม,117,77,48,323,171
นครพนม,104,65,60,356,322
นครราชสีมา,334,279,192,1390,1217
นครศรีธรรมราช,185,107,56,765,385
นครสวรรค์,143,89,117,723,468
นนทบุรี,46,40,25,339,62
นราธิวาส,89,42,26,313,268
น่าน,100,62,34,394,214
บึงกาฬ,60,39,35,211,198
บุรีรัมย์,209,154,104,786,678
ปทุมธานี,64,72,31,327,172
ประจวบคีรีขันธ์,61,60,19,302,169
ปราจีนบุรี,70,50,35,318,201
ปัตตานี,114,50,40,251,192
พระนครศรีอยุธยา,158,109,60,500,237
พะเยา,72,80,31,254,167
พังงา,52,30,27,153,122
พัทลุง,74,36,40,289,214
พิจิตร,102,65,64,362,229
พิษณุโลก,103,85,48,349,297
เพชรบุรี,85,62,30,216,202
เพชรบูรณ์,128,75,79,585,426
แพร่,84,57,54,266,162
ภูเก็ต,19,28,17,51,43
มหาสารคาม,143,71,98,555,420
มุกดาหาร,55,25,23,153,111
แม่ฮ่องสอน,50,35,54,243,172
ยโสธร,88,72,48,284,318
ยะลา,64,41,22,232,146
ร้อยเอ็ด,203,192,267,581,572
ระนอง,31,34,19,134,84
ระยอง,68,69,32,273,216
ราชบุรี,112,86,52,439,228
ลพบุรี,126,78,33,490,262
ลำปาง,104,93,67,468,339
ลำพูน,58,57,60,332,211
เลย,101,69,57,249,310
ศรีสะเกษ,217,142,157,689,762
สกลนคร,141,93,82,550,482
สงขลา,141,68,56,458,380
สตูล,42,17,8,129,144
สมุทรปราการ,49,48,40,232,117
สมุทรสงคราม,36,13,19,69,58
สมุทรสาคร,38,34,24,104,66
สระแก้ว,66,65,82,379,283
สระบุรี,109,63,59,400,190
สิงห์บุรี,42,52,14,191,135
สุโขทัย,91,42,45,364,263
สุพรรณบุรี,127,89,63,355,267
สุราษฎร์ธานี,138,87,48,470,360
สุรินทร์,173,100,130,526,632
หนองคาย,68,38,47,161,176
หนองบัวลำภู,68,42,54,289,233
อ่างทอง,65,33,40,183,157
อำนาจเจริญ,64,59,44,216,168
อุดรธานี,181,149,110,572,559
อุตรดิตถ์,80,40,36,245,233
อุทัยธานี,64,35,30,211,180
อุบลราชธานี,239,136,182,1038,852
รวม,7851,5581,4623,28989,22339
