จังหวัด,จำนวน อปท. ที่กรอกข้อมูล,จำนวนเจ้าหน้าที่ปฏิบัติงาน (พนักงานดับเพลิง)    จำนวน(คน),รถดับเพลิง	จำนวน(คัน),"รถบรรทุกน้ำ ขนาดความจุน้อยกว่า 10,000 ลิตร   จำนวน(คัน)","รถบรรทุกน้ำ ขนาดความจุมากกว่า 10,000 ลิตร   จำนวน(คัน)",รถกระเช้า	จำนวน(คัน),รถบันได	จำนวน(คัน),เรือยนต์ดับเพลิง   จำนวน(ลำ),เครื่องดับเพลิงชนิดหาบหาม  จำนวน(เครื่อง),รถกู้ภัย จำนวน(คัน),รถสุขาเคลื่อนที่ จำนวน(คัน),เครื่องสูบน้ำ ขนาด 3 - 5 นิ้ว   จำนวน(เครื่อง),เครื่องสูบน้ำ  แยกเป็นชนิดหาบหาม   จำนวน(เครื่อง),เครื่องสูบน้ำ  แยกเป็นพญานาค   จำนวน(เครื่อง),เครื่องสูบน้ำ ขนาดมากกว่า 5 - 10 นิ้ว   จำนวน(เครื่อง),เครื่องสูบน้ำ ขนาดมากกว่า 10 นิ้ว   จำนวน(เครื่อง),รถบรรทุกดั้ม 6 ล้อ จำนวน(คัน),รถบรรทุกดั้ม 10 ล้อ จำนวน(คัน),รถพยาบาลฉุกเฉิน พร้อมอุปกรณ์ทางการแพทย์ จำนวน(คัน),รถหอน้ำ จำนวน(คัน),รถตรวจการณ์ จำนวน(คัน),เบาะลม จำนวน(อัน),เรือกู้ชีพ จำนวน(ลำ)
กระบี่,62,110,23,25,18,20,0.0,0.0,64,16,0.0,12,9,3,3,1,20,10.0,8,1.0,8,0.0,3.0
กาญจนบุรี,122,390,70,86,41,68,1.0,1.0,84,25,0.0,53,22,31,42,17,18,0.0,9,0.0,30,2.0,4.0
กาฬสินธุ์,151,586,78,80,30,62,0.0,2.0,372,93,6.0,102,69,33,36,3,36,1.0,33,1.0,7,0.0,5.0
กำแพงเพชร,90,333,46,62,25,42,3.0,1.0,60,37,2.0,41,16,25,16,1,12,0.0,15,0.0,12,0.0,9.0
ขอนแก่น,225,808,119,166,20,81,1.0,1.0,618,111,2.0,138,112,26,89,15,34,2.0,86,3.0,41,2.0,15.0
จันทบุรี,82,437,51,70,30,55,2.0,3.0,64,27,3.0,50,41,9,16,7,56,3.0,9,1.0,41,1.0,44.0
ฉะเชิงเทรา,109,365,60,73,44,50,2.0,7.0,175,15,2.0,43,30,13,9,3,20,2.0,11,0.0,30,1.0,6.0
ชลบุรี,99,909,117,85,86,83,6.0,16.0,168,28,13.0,136,96,40,36,12,36,4.0,9,3.0,69,9.0,46.0
ชัยนาท,60,207,38,41,10,35,0.0,0.0,25,9,1.0,65,26,39,29,9,18,1.0,6,0.0,4,0.0,0.0
ชัยภูมิ,143,654,84,95,37,63,3.0,3.0,468,74,3.0,59,37,22,36,17,30,6.0,37,0.0,13,2.0,28.0
ชุมพร,79,268,38,70,23,28,0.0,3.0,20,21,2.0,47,37,10,8,2,26,2.0,15,0.0,6,0.0,9.0
