จังหวัด,จำนวน อปท. ที่กรอกข้อมูล,จำนวนเจ้าหน้าที่ปฏิบัติงาน (พนักงานดับเพลิง)    จำนวน(คน),"รถดับเพลิง,จำนวน(คัน)",รถบรรทุกน้ำ ขนาดความจุน้อยกว่า 10000 ลิตร   จำนวน(คัน),รถบรรทุกน้ำ ขนาดความจุมากกว่า 10000 ลิตร   จำนวน(คัน),"รถกระเช้า,จำนวน(คัน)","รถบันได,จำนวน(คัน)",เรือยนต์ดับเพลิง   จำนวน(ลำ),เครื่องดับเพลิงชนิดหาบหาม  จำนวน(เครื่อง),รถกู้ภัย จำนวน(คัน),รถสุขาเคลื่อนที่ จำนวน(คัน),เครื่องสูบน้ำ ขนาด 3 - 5 นิ้ว   จำนวน(เครื่อง),เครื่องสูบน้ำ  แยกเป็นชนิดหาบหาม   จำนวน(เครื่อง),เครื่องสูบน้ำ  แยกเป็นพญานาค   จำนวน(เครื่อง),เครื่องสูบน้ำ ขนาดมากกว่า 5 - 10 นิ้ว   จำนวน(เครื่อง),เครื่องสูบน้ำ ขนาดมากกว่า 10 นิ้ว   จำนวน(เครื่อง),รถบรรทุกดั้ม 6 ล้อ จำนวน(คัน),รถบรรทุกดั้ม 10 ล้อ จำนวน(คัน),รถพยาบาลฉุกเฉิน พร้อมอุปกรณ์ทางการแพทย์ จำนวน(คัน),รถหอน้ำ จำนวน(คัน),รถตรวจการณ์ จำนวน(คัน),เบาะลม จำนวน(อัน),เรือกู้ชีพ จำนวน(ลำ)
กระบี่,62,107,23,25,16,19,0,0,63,21,1,11,7,4,1,1,20,10,4,2,3,0,9
กาญจนบุรี,122,415,72,78,39,66,0,1,95,29,1,52,21,31,37,19,19,0,9,0,30,1,9
กาฬสินธุ์,151,514,74,64,29,52,0,3,320,95,4,99,68,31,34,2,35,1,29,1,8,0,1
กำแพงเพชร,90,351,42,60,20,38,0,2,93,39,2,38,15,23,14,1,22,3,12,0,10,0,17
ขอนแก่น,225,791,108,140,32,75,2,1,584,124,2,128,107,21,84,16,34,6,69,2,49,1,11
จันทบุรี,82,449,49,67,30,49,2,3,65,33,2,47,43,4,18,8,50,2,11,1,33,1,35
ฉะเชิงเทรา,109,374,60,67,41,47,2,7,140,16,2,35,25,10,7,3,17,2,8,0,24,0,71
ชลบุรี,99,843,110,85,77,80,5,15,167,32,10,127,90,37,32,11,32,2,9,1,66,7,4
ชัยนาท,60,191,41,34,10,35,0,1,25,9,1,61,22,39,44,10,15,1,3,0,2,0,4
ชัยภูมิ,143,641,75,90,28,55,3,4,471,74,3,51,33,18,38,14,19,5,26,2,16,0,18
ชุมพร,79,276,38,63,23,25,0,3,20,20,1,44,34,10,4,2,13,0,13,0,6,0,12
เชียงราย,144,808,79,113,22,39,1,2,67,78,1,66,38,28,22,5,41,2,20,0,20,0,17
เชียงใหม่,211,1158,162,211,43,150,4,2,179,135,10,219,154,65,112,19,106,4,68,0,38,0,17
