ตารางแสดงปริมาณ น้ำมันแก๊สโซฮอล์อี 10 ออกเทน 95 ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
สาขา อุตสาหกรรม,,,,,,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,ปตท. ค้าปลีก,น้ำมัน ไออาร์พีซี,ไออาร์พีซี,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
,กรุงเทพฯ และปริมณฑล,,45,362,,16,,13,,,,,,342,779
1,กรุงเทพมหานคร,,27,362,,16,,13,,,,,,255,674
2,สมุทรปราการ,,18,,,,,,,,,,,,18
3,นนทบุรี,,,,,,,,,,,,,87,87
4,ปทุมธานี,,,,,,,,,,,,,,
,ภาคกลาง,,,,,,,6,,3,,,,,9
5,พระนครศรีอยุธยา,,,,,,,,,3,,,,,3
6,อ่างทอง,,,,,,,,,,,,,,
7,ลพบุรี,,,,,,,,,,,,,,
8,สิงห์บุรี,,,,,,,,,,,,,,
9,ชัยนาท,,,,,,,,,,,,,,
10,สระบุรี,,,,,,,6,,,,,,,6
,ภาคตะวันออก,,18,28,,,,,,,,,,9,55
11,ชลบุรี,,,12,,,,,,,,,,9,21
12,ระยอง,,18,,,,,,,,,,,,18
13,จันทบุรี,,,,,,,,,,,,,,
14,ตราด,,,,,,,,,,,,,,
15,ฉะเชิงเทรา,,,16,,,,,,,,,,,16
16,ปราจีนบุรี,,,,,,,,,,,,,,
17,นครนายก,,,,,,,,,,,,,,
18,สระแก้ว,,,,,,,,,,,,,,
,ภาคตะวันออกเฉียงเหนือ,,,,,16,,,,,,,,20,36
,ภาคตะวันออกเฉียงเหนือตอนบน,,,,,,,,,,,,,20,20
19,ขอนแก่น,,,,,,,,,,,,,,
20,อุดรธานี,,,,,,,,,,,,,,
21,เลย,,,,,,,,,,,,,,
22,หนองคาย,,,,,,,,,,,,,,
23,มหาสารคาม,,,,,,,,,,,,,,
24,ร้อยเอ็ด,,,,,,,,,,,,,,
25,กาฬสินธุ์,,,,,,,,,,,,,,
26,สกลนคร,,,,,,,,,,,,,,
27,นครพนม,,,,,,,,,,,,,,
28,มุกดาหาร,,,,,,,,,,,,,20,20
29,บึงกาฬ,,,,,,,,,,,,,,
,ภาคตะวันออกเฉียงเหนือตอนล่าง,,,,,16,,,,,,,,,16
30,นครราชสีมา,,,,,16,,,,,,,,,16
31,บุรีรัมย์,,,,,,,,,,,,,,
32,สุรินทร์,,,,,,,,,,,,,,
33,ศรีสะเกษ,,,,,,,,,,,,,,
34,อุบลราชธานี,,,,,,,,,,,,,,
35,ยโสธร,,,,,,,,,,,,,,
36,ชัยภูมิ,,,,,,,,,,,,,,
37,อำนาจเจริญ,,,,,,,,,,,,,,
38,หนองบัวลำภู,,,,,,,,,,,,,,
,ภาคเหนือ,,,,,,,,,,,,,4,4
,ภาคเหนือบน,,,,,,,,,,,,,4,4
39,เชียงใหม่,,,,,,,,,,,,,,
40,ลำพูน,,,,,,,,,,,,,,
41,ลำปาง,,,,,,,,,,,,,,
42,อุตรดิตถ์,,,,,,,,,,,,,,
43,แพร่,,,,,,,,,,,,,,
44,น่าน,,,,,,,,,,,,,,
45,พะเยา,,,,,,,,,,,,,,
46,เชียงราย,,,,,,,,,,,,,4,4
47,แม่ฮ่องสอน,,,,,,,,,,,,,,
,ภาคเหนือตอนล่าง,,,,,,,,,,,,,,
48,นครสวรรค์,,,,,,,,,,,,,,
49,อุทัยธานี,,,,,,,,,,,,,,
50,กำแพงเพชร,,,,,,,,,,,,,,
51,ตาก,,,,,,,,,,,,,,
52,สุโขทัย,,,,,,,,,,,,,,
53,พิษณุโลก,,,,,,,,,,,,,,
54,พิจิตร,,,,,,,,,,,,,,
55,เพชรบูรณ์,,,,,,,,,,,,,,
,ภาคตะวันตก,,,4,,,,,,,,,,,4
56,ราชบุรี,,,,,,,,,,,,,,
57,กาญจนบุรี,,,4,,,,,,,,,,,4
58,สุพรรณบุรี,,,,,,,,,,,,,,
59,นครปฐม,,,,,,,,,,,,,,
60,สมุทรสาคร,,,,,,,,,,,,,,
61,สมุทรสงคราม,,,,,,,,,,,,,,
62,เพชรบุรี,,,,,,,,,,,,,,
63,ประจวบคีรีขันธ์,,,,,,,,,,,,,,
,ภาคใต้,,141,,,,,,,,,,,144,285
,ภาคใต้ตอนบน,,141,,,,,,,,,,,144,285
64,นครศรีธรรมราช,,,,,,,,,,,,,,
65,กระบี่,,,,,,,,,,,,,,
66,พังงา,,,,,,,,,,,,,,
67,ภูเก็ต,,141,,,,,,,,,,,123,264
68,สุราษฎร์ธานี,,,,,,,,,,,,,21,21
69,ระนอง,,,,,,,,,,,,,,
70,ชุมพร,,,,,,,,,,,,,,
,ภาคใต้ตอนล่าง,,,,,,,,,,,,,,
71,สงขลา,,,,,,,,,,,,,,
72,สตูล,,,,,,,,,,,,,,
73,ตรัง,,,,,,,,,,,,,,
74,พัทลุง,,,,,,,,,,,,,,
75,ปัตตานี,,,,,,,,,,,,,,
76,ยะลา,,,,,,,,,,,,,,
77,นราธิวาส,,,,,,,,,,,,,,
,ปริมาณรวมทั้งสิ้น,,204,394,,32,,19,,3,,,,519,"1,172"
