ตารางแสดงปริมาณ น้ำมันแก๊สโซฮอล์อี 10 ออกเทน 95 ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
สาขา อื่น ๆ,,,,,,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,ปตท. ค้าปลีก,น้ำมัน ไออาร์พีซี,ไออาร์พีซี,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
,กรุงเทพฯ และปริมณฑล,,12,"9,533","1,274",8,13,,,,,,"10,325",316,"21,481"
1,กรุงเทพมหานคร,,12,"9,533","1,043",8,13,,,,,,"10,322",316,"21,247"
2,สมุทรปราการ,,,,,,,,,,,,,,
3,นนทบุรี,,,,56,,,,,,,,3,,59
4,ปทุมธานี,,,,175,,,,,,,,,,175
,ภาคกลาง,,,,294,12,,,,,,,118,113,537
5,พระนครศรีอยุธยา,,,,215,,,,,,,,,,215
6,อ่างทอง,,,,,,,,,,,,,,
7,ลพบุรี,,,,,,,,,,,,,113,113
8,สิงห์บุรี,,,,,,,,,,,,,,
9,ชัยนาท,,,,,,,,,,,,,,
10,สระบุรี,,,,79,12,,,,,,,118,,209
,ภาคตะวันออก,,73,,189,,,,,,,,107,18,387
11,ชลบุรี,,41,,86,,,,,,,,,9,136
12,ระยอง,,,,63,,,,,,,,107,,170
13,จันทบุรี,,32,,7,,,,,,,,,,39
14,ตราด,,,,,,,,,,,,,,
15,ฉะเชิงเทรา,,,,,,,,,,,,,9,9
16,ปราจีนบุรี,,,,,,,,,,,,,,
17,นครนายก,,,,,,,,,,,,,,
18,สระแก้ว,,,,33,,,,,,,,,,33
,ภาคตะวันออกเฉียงเหนือ,,7,4,"2,054",,,,,,,,392,218,"2,675"
,ภาคตะวันออกเฉียงเหนือตอนบน,,,,"1,268",,,,,,,,46,24,"1,338"
19,ขอนแก่น,,,,4,,,,,,,,,,4
20,อุดรธานี,,,,"1,135",,,,,,,,,,"1,135"
21,เลย,,,,,,,,,,,,,,
22,หนองคาย,,,,,,,,,,,,,,
23,มหาสารคาม,,,,,,,,,,,,,,
24,ร้อยเอ็ด,,,,129,,,,,,,,46,,175
25,กาฬสินธุ์,,,,,,,,,,,,,,
26,สกลนคร,,,,,,,,,,,,,24,24
27,นครพนม,,,,,,,,,,,,,,
28,มุกดาหาร,,,,,,,,,,,,,,
29,บึงกาฬ,,,,,,,,,,,,,,
,ภาคตะวันออกเฉียงเหนือตอนล่าง,,7,4,786,,,,,,,,346,194,"1,337"
30,นครราชสีมา,,7,,469,,,,,,,,146,77,699
31,บุรีรัมย์,,,4,11,,,,,,,,,,15
32,สุรินทร์,,,,,,,,,,,,,34,34
33,ศรีสะเกษ,,,,306,,,,,,,,,44,350
34,อุบลราชธานี,,,,,,,,,,,,200,20,220
35,ยโสธร,,,,,,,,,,,,,19,19
36,ชัยภูมิ,,,,,,,,,,,,,,
37,อำนาจเจริญ,,,,,,,,,,,,,,
38,หนองบัวลำภู,,,,,,,,,,,,,,
,ภาคเหนือ,,24,"2,560",217,,,,,,,,408,30,"3,239"
,ภาคเหนือบน,,24,"2,560",4,,,,,,,,408,30,"3,026"
39,เชียงใหม่,,,"2,557",,,,,,,,,,,"2,557"
40,ลำพูน,,,,,,,,,,,,,,
41,ลำปาง,,,3,,,,,,,,,408,30,441
42,อุตรดิตถ์,,,,,,,,,,,,,,
43,แพร่,,,,,,,,,,,,,,
44,น่าน,,24,,,,,,,,,,,,24
45,พะเยา,,,,,,,,,,,,,,
46,เชียงราย,,,,4,,,,,,,,,,4
47,แม่ฮ่องสอน,,,,,,,,,,,,,,
,ภาคเหนือตอนล่าง,,,,213,,,,,,,,,,213
48,นครสวรรค์,,,,,,,,,,,,,,
49,อุทัยธานี,,,,,,,,,,,,,,
50,กำแพงเพชร,,,,,,,,,,,,,,
51,ตาก,,,,,,,,,,,,,,
52,สุโขทัย,,,,,,,,,,,,,,
53,พิษณุโลก,,,,117,,,,,,,,,,117
54,พิจิตร,,,,96,,,,,,,,,,96
55,เพชรบูรณ์,,,,,,,,,,,,,,
,ภาคตะวันตก,,212,328,698,23,,,,,,,331,381,"1,972"
56,ราชบุรี,,,,190,,,,,,,,,378,568
57,กาญจนบุรี,,,,243,,,,,,,,295,3,541
58,สุพรรณบุรี,,,,,,,,,,,,,,
59,นครปฐม,,,,82,,,,,,,,,,82
60,สมุทรสาคร,,,,,,,,,,,,,,
61,สมุทรสงคราม,,,,,,,,,,,,,,
62,เพชรบุรี,,212,328,182,12,,,,,,,,,734
63,ประจวบคีรีขันธ์,,,,,11,,,,,,,36,,47
,ภาคใต้,,311,125,"2,988",,31,,,,,,373,"3,006","6,833"
,ภาคใต้ตอนบน,,216,,885,,22,,,,,,345,380,"1,847"
64,นครศรีธรรมราช,,207,,456,,,,,,,,,233,896
65,กระบี่,,,,25,,,,,,,,,,25
66,พังงา,,9,,,,,,,,,,,,9
67,ภูเก็ต,,,,27,,6,,,,,,,23,56
68,สุราษฎร์ธานี,,,,377,,16,,,,,,,91,484
69,ระนอง,,,,,,,,,,,,,33,33
70,ชุมพร,,,,,,,,,,,,345,,345
,ภาคใต้ตอนล่าง,,95,125,"2,103",,9,,,,,,28,"2,626","4,986"
71,สงขลา,,47,125,"2,103",,,,,,,,28,"2,626","4,928"
72,สตูล,,,,,,,,,,,,,,
73,ตรัง,,48,,,,9,,,,,,,,57
74,พัทลุง,,,,,,,,,,,,,,
75,ปัตตานี,,,,,,,,,,,,,,
76,ยะลา,,,,,,,,,,,,,,
77,นราธิวาส,,,,,,,,,,,,,,
,ปริมาณรวมทั้งสิ้น,,639,"12,549","7,714",43,44,,,,,,"12,054","4,081","37,124"
