ตารางแสดงปริมาณ น้ำมันแก๊สโซฮอล์อี 10 ออกเทน 95 ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
สาขา สถานีบริการ,,,,,,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,ปตท. ค้าปลีก,น้ำมัน ไออาร์พีซี,ไออาร์พีซี,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
,กรุงเทพฯ และปริมณฑล,"5,071","24,868","21,896","5,356","21,165","1,914",118,,"1,351","7,832",,,"23,531","113,101"
1,กรุงเทพมหานคร,"4,606","20,007","14,834","3,380","13,882","1,681",40,,910,"3,340",,,"16,522","79,203"
2,สมุทรปราการ,302,"1,716","2,775",737,"3,126",84,,,162,993,,,"1,745","11,640"
3,นนทบุรี,,"2,551","1,895",629,"2,736",32,24,,279,"1,521",,,"2,516","12,183"
4,ปทุมธานี,163,593,"2,392",610,"1,421",117,54,,,"1,978",,,"2,748","10,075"
,ภาคกลาง,17,"1,082","1,127",642,"2,695",106,163,,62,"1,516",48,,"6,505","13,962"
5,พระนครศรีอยุธยา,,572,445,330,"1,032",9,43,,62,818,48,,"2,072","5,431"
6,อ่างทอง,,108,60,42,202,11,16,,,,,,390,829
7,ลพบุรี,17,131,28,28,325,,46,,,298,,,"1,411","2,283"
8,สิงห์บุรี,,68,63,12,101,,22,,,118,,,627,"1,011"
9,ชัยนาท,,13,117,18,186,,,,,,,,449,783
10,สระบุรี,,190,415,211,849,86,36,,,282,,,"1,555","3,624"
,ภาคตะวันออก,156,"3,863","3,953","1,684","4,743",341,503,"22,180",59,"4,324",67,74,"11,954","53,902"
