ตารางแสดงปริมาณ น้ำมันแก๊สโซฮอล์อี 20 ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
สาขา สถานีบริการ,,,,,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,สยามเฆมี,ปตท. ค้าปลีก,ปตท. น้ำมันและการค้าปลีก,รวมทุกสาขา
,กรุงเทพฯ และปริมณฑล,"2,511","12,152","10,306","1,233","18,077",306,,,225,,"5,559","14,230","64,597"
1,กรุงเทพมหานคร,"2,184","8,781","6,904",681,"11,077",299,,,150,,"2,051","9,790","41,917"
2,สมุทรปราการ,212,"1,331","1,181",88,"3,008",3,,,27,,685,828,"7,364"
3,นนทบุรี,,"1,519",984,266,"2,644",4,,,48,,"1,103","1,609","8,178"
4,ปทุมธานี,115,520,"1,236",198,"1,348",,,,,,"1,719","2,003","7,139"
,ภาคกลาง,7,"1,051",490,194,"2,255",,17,,,,"1,223","4,691","9,929"
5,พระนครศรีอยุธยา,,659,251,102,"1,151",,,,,,669,"1,628","4,460"
6,อ่างทอง,,40,15,,195,,,,,,,269,519
7,ลพบุรี,7,119,4,13,268,,,,,,235,932,"1,578"
8,สิงห์บุรี,,32,24,,91,,6,,,,107,418,677
9,ชัยนาท,,21,54,6,57,,,,,,,374,512
10,สระบุรี,,179,142,73,493,,11,,,,213,"1,071","2,182"
,ภาคตะวันออก,133,"3,273","1,201",451,"3,632",56,62,"5,006",6,,"3,428","8,333","25,581"
11,ชลบุรี,,"1,678",361,346,"1,815",,35,"5,006",6,,"2,309","3,100","14,656"
12,ระยอง,,685,171,52,698,52,,,,,300,"1,620","3,578"
13,จันทบุรี,,357,56,,227,,,,,,,584,"1,223"
