ตารางแสดงปริมาณ น้ำมันแก๊สโซฮอล์อี 85 ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
สาขา สถานีบริการ,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,
,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,บางจาก,ซัสโก้,สยามเฆมี,ปตท. ค้าปลีก,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
,กรุงเทพฯ และปริมณฑล,510,"10,166",88,,87,"4,486","15,337"
1,กรุงเทพมหานคร,487,"6,121",80,,47,"3,061","9,796"
2,สมุทรปราการ,23,"1,451",,,40,170,"1,684"
3,นนทบุรี,,"1,710",,,,544,"2,254"
4,ปทุมธานี,,884,8,,,711,"1,603"
,ภาคกลาง,,"1,254",,,18,"1,218","2,490"
5,พระนครศรีอยุธยา,,742,,,,445,"1,187"
6,อ่างทอง,,45,,,,37,82
7,ลพบุรี,,150,,,,185,335
8,สิงห์บุรี,,56,,,18,102,176
9,ชัยนาท,,,,,,115,115
10,สระบุรี,,261,,,,334,595
,ภาคตะวันออก,,"1,735",,,128,"2,025","3,888"
11,ชลบุรี,,"1,006",,,87,967,"2,060"
12,ระยอง,,322,,,,268,590
13,จันทบุรี,,24,,,,131,155
14,ตราด,,22,,,,9,31
15,ฉะเชิงเทรา,,307,,,41,246,594
16,ปราจีนบุรี,,,,,,111,111
17,นครนายก,,47,,,,196,243
18,สระแก้ว,,7,,,,97,104
,ภาคตะวันออกเฉียงเหนือ,74,"1,057",,,33,"3,962","5,126"
,ภาคตะวันออกเฉียงเหนือตอนบน,30,475,,,,"1,879","2,384"
19,ขอนแก่น,,259,,,,506,765
20,อุดรธานี,,153,,,,256,409
21,เลย,,,,,,134,134
22,หนองคาย,,12,,,,75,87
23,มหาสารคาม,30,23,,,,185,238
24,ร้อยเอ็ด,,8,,,,250,258
25,กาฬสินธุ์,,12,,,,141,153
26,สกลนคร,,,,,,162,162
27,นครพนม,,8,,,,53,61
28,มุกดาหาร,,,,,,100,100
29,บึงกาฬ,,,,,,16,16
,ภาคตะวันออกเฉียงเหนือตอนล่าง,43,582,,,33,"2,083","2,741"
30,นครราชสีมา,43,513,,,19,823,"1,399"
31,บุรีรัมย์,,12,,,,186,198
32,สุรินทร์,,9,,,,192,201
33,ศรีสะเกษ,,8,,,,131,139
34,อุบลราชธานี,,,,,,378,378
35,ยโสธร,,,,,,113,113
36,ชัยภูมิ,,40,,,14,136,190
37,อำนาจเจริญ,,,,,,58,58
38,หนองบัวลำภู,,,,,,65,65
,ภาคเหนือ,,809,19,,43,"2,569","3,440"
,ภาคเหนือบน,,508,19,,,"1,295","1,822"
39,เชียงใหม่,,443,8,,,337,788
40,ลำพูน,,30,11,,,64,105
41,ลำปาง,,19,,,,286,305
42,อุตรดิตถ์,,,,,,151,151
43,แพร่,,16,,,,125,141
44,น่าน,,,,,,,
45,พะเยา,,,,,,84,84
46,เชียงราย,,,,,,248,248
47,แม่ฮ่องสอน,,,,,,,
,ภาคเหนือตอนล่าง,,301,,,43,"1,274","1,618"
48,นครสวรรค์,,92,,,,344,436
49,อุทัยธานี,,10,,,,30,40
50,กำแพงเพชร,,30,,,,135,165
51,ตาก,,20,,,43,114,177
52,สุโขทัย,,36,,,,54,90
53,พิษณุโลก,,101,,,,293,394
54,พิจิตร,,12,,,,74,86
55,เพชรบูรณ์,,,,,,230,230
,ภาคตะวันตก,,"1,533",,,,"2,030","3,563"
56,ราชบุรี,,84,,,,151,235
57,กาญจนบุรี,,132,,,,189,321
58,สุพรรณบุรี,,72,,,,350,422
59,นครปฐม,,590,,,,410,"1,000"
60,สมุทรสาคร,,348,,,,347,695
61,สมุทรสงคราม,,77,,,,102,179
62,เพชรบุรี,,209,,,,208,417
63,ประจวบคีรีขันธ์,,21,,,,275,296
,ภาคใต้,7,618,,,,"2,524","3,148"
,ภาคใต้ตอนบน,,479,,,,"1,514","1,993"
64,นครศรีธรรมราช,,12,,,,498,510
65,กระบี่,,69,,,,70,139
66,พังงา,,,,,,59,59
67,ภูเก็ต,,100,,,,180,280
68,สุราษฎร์ธานี,,196,,,,531,727
69,ระนอง,,32,,,,10,42
70,ชุมพร,,70,,,,167,237
,ภาคใต้ตอนล่าง,7,139,,,,"1,009","1,155"
71,สงขลา,7,121,,,,467,595
72,สตูล,,,,,,55,55
73,ตรัง,,7,,,,131,138
74,พัทลุง,,,,,,110,110
75,ปัตตานี,,,,,,119,119
76,ยะลา,,,,,,81,81
77,นราธิวาส,,11,,,,48,59
,ปริมาณรวมทั้งสิ้น,590,"17,172",107,,309,"18,814","36,992"
