ตารางแสดงปริมาณ น้ำมันดีเซลหมุนเร็ว ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
สาขา ราชการและรัฐวิสาหกิจ,,,,,,,,,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,พี.ซี.สยาม,ยูนิคแก๊ส,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,สยามเฆมี,ปตท. ค้าปลีก,น้ำมัน ไออาร์พีซี,ไออาร์พีซี,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
,กรุงเทพฯ และปริมณฑล,"15,729",,,,132,,,,,,,,,,,,"15,861"
1,กรุงเทพมหานคร,"12,435",,,,,,,,,,,,,,,,"12,435"
2,สมุทรปราการ,874,,,,132,,,,,,,,,,,,"1,006"
3,นนทบุรี,"2,097",,,,,,,,,,,,,,,,"2,097"
4,ปทุมธานี,323,,,,,,,,,,,,,,,,323
,ภาคกลาง,"4,134",,,,,,,,,,,,,,,,"4,134"
5,พระนครศรีอยุธยา,391,,,,,,,,,,,,,,,,391
6,อ่างทอง,9,,,,,,,,,,,,,,,,9
7,ลพบุรี,329,,,,,,,,,,,,,,,,329
8,สิงห์บุรี,,,,,,,,,,,,,,,,,
9,ชัยนาท,49,,,,,,,,,,,,,,,,49
10,สระบุรี,"3,356",,,,,,,,,,,,,,,,"3,356"
,ภาคตะวันออก,"4,221",,,,,,,,,,,,,,,,"4,221"
11,ชลบุรี,"2,898",,,,,,,,,,,,,,,,"2,898"
12,ระยอง,111,,,,,,,,,,,,,,,,111
13,จันทบุรี,113,,,,,,,,,,,,,,,,113
14,ตราด,168,,,,,,,,,,,,,,,,168
15,ฉะเชิงเทรา,85,,,,,,,,,,,,,,,,85
16,ปราจีนบุรี,195,,,,,,,,,,,,,,,,195
17,นครนายก,113,,,,,,,,,,,,,,,,113
18,สระแก้ว,539,,,,,,,,,,,,,,,,539
,ภาคตะวันออกเฉียงเหนือ,"4,168",,,,,,,,,,,,,,,,"4,168"
,ภาคตะวันออกเฉียงเหนือตอนบน,"1,531",,,,,,,,,,,,,,,,"1,531"
