ตารางแสดงปริมาณ น้ำมันดีเซลหมุนเร็ว ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
สาขา อุตสาหกรรม,,,,,,,,,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,พี.ซี.สยาม,ยูนิคแก๊ส,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,สยามเฆมี,ปตท. ค้าปลีก,น้ำมัน ไออาร์พีซี,ไออาร์พีซี,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
,กรุงเทพฯ และปริมณฑล,,"2,390","8,306",,"4,363",686,"1,105",,,,,,,,539,"10,218","27,606"
1,กรุงเทพมหานคร,,748,"7,059",,"1,938",658,733,,,,,,,,491,"5,741","17,369"
2,สมุทรปราการ,,977,869,,"1,024",12,30,,,,,,,,,"2,925","5,836"
3,นนทบุรี,,42,30,,407,16,342,,,,,,,,32,833,"1,702"
4,ปทุมธานี,,623,348,,994,,,,,,,,,,16,719,"2,700"
,ภาคกลาง,,"1,525",745,,"2,689",119,846,,,,74,,,,86,"4,070","10,155"
5,พระนครศรีอยุธยา,,358,222,,"1,709",,79,,,,74,,,,24,"1,036","3,503"
6,อ่างทอง,,70,,,80,,,,,,,,,,,112,262
7,ลพบุรี,,208,12,,261,,,,,,,,,,62,423,965
8,สิงห์บุรี,,,12,,,,12,,,,,,,,,111,135
9,ชัยนาท,,12,,,94,,,,,,,,,,,144,250
10,สระบุรี,,878,499,,545,119,755,,,,,,,,,"2,245","5,040"
,ภาคตะวันออก,,"2,540",435,,"1,468",,292,,,,,,,,537,"3,738","9,010"
11,ชลบุรี,,"1,062",332,,479,,177,,,,,,,,374,"1,268","3,692"
12,ระยอง,,978,12,,338,,90,,,,,,,,32,"1,676","3,126"
13,จันทบุรี,,12,12,,30,,,,,,,,,,,48,102
14,ตราด,,36,,,60,,,,,,,,,,68,21,185
15,ฉะเชิงเทรา,,203,8,,210,,25,,,,,,,,63,519,"1,027"
16,ปราจีนบุรี,,248,56,,36,,,,,,,,,,,180,520
17,นครนายก,,,15,,112,,,,,,,,,,,,127
18,สระแก้ว,,,,,203,,,,,,,,,,,28,231
,ภาคตะวันออกเฉียงเหนือ,,"1,071",753,,"2,181",,20,,,,,,,,,"5,384","9,410"
,ภาคตะวันออกเฉียงเหนือตอนบน,,236,472,,968,,12,,,,,,,,,"1,197","2,885"
19,ขอนแก่น,,79,418,,688,,12,,,,,,,,,376,"1,573"
20,อุดรธานี,,87,,,,,,,,,,,,,,295,382
21,เลย,,,12,,,,,,,,,,,,,194,206
22,หนองคาย,,24,30,,30,,,,,,,,,,,,84
23,มหาสารคาม,,,,,60,,,,,,,,,,,43,103
24,ร้อยเอ็ด,,,,,16,,,,,,,,,,,78,94
25,กาฬสินธุ์,,16,,,114,,,,,,,,,,,59,189
26,สกลนคร,,15,,,,,,,,,,,,,,38,53
27,นครพนม,,,,,60,,,,,,,,,,,6,66
28,มุกดาหาร,,15,12,,,,,,,,,,,,,109,136
29,บึงกาฬ,,,,,,,,,,,,,,,,,
,ภาคตะวันออกเฉียงเหนือตอนล่าง,,835,281,,"1,213",,8,,,,,,,,,"4,187","6,525"
30,นครราชสีมา,,556,80,,576,,,,,,,,,,,"2,938","4,149"
31,บุรีรัมย์,,64,30,,99,,,,,,,,,,,126,319
32,สุรินทร์,,32,144,,15,,8,,,,,,,,,483,681
33,ศรีสะเกษ,,,,,16,,,,,,,,,,,36,52
34,อุบลราชธานี,,,28,,129,,,,,,,,,,,190,347
35,ยโสธร,,,,,,,,,,,,,,,,,
36,ชัยภูมิ,,136,,,88,,,,,,,,,,,415,639
37,อำนาจเจริญ,,48,,,32,,,,,,,,,,,,80
38,หนองบัวลำภู,,,,,258,,,,,,,,,,,,258
,ภาคเหนือ,,"2,916",692,,"2,016",,76,,,,,,,,,"3,686","9,385"
,ภาคเหนือบน,,"2,532",82,,729,,,,,,,,,,,"1,762","5,105"
39,เชียงใหม่,,40,28,,380,,,,,,,,,,,438,886
40,ลำพูน,,75,,,16,,,,,,,,,,,12,103
41,ลำปาง,,"1,464",12,,239,,,,,,,,,,,853,"2,568"
42,อุตรดิตถ์,,147,27,,30,,,,,,,,,,,,204
43,แพร่,,51,,,,,,,,,,,,,,,51
44,น่าน,,60,,,,,,,,,,,,,,,60
45,พะเยา,,10,,,,,,,,,,,,,,45,55
46,เชียงราย,,686,15,,64,,,,,,,,,,,415,"1,179"
47,แม่ฮ่องสอน,,,,,,,,,,,,,,,,,
,ภาคเหนือตอนล่าง,,383,610,,"1,287",,76,,,,,,,,,"1,923","4,280"
48,นครสวรรค์,,15,239,,673,,,,,,,,,,,728,"1,655"
49,อุทัยธานี,,36,,,,,,,,,,,,,,182,218
50,กำแพงเพชร,,,359,,191,,76,,,,,,,,,693,"1,319"
51,ตาก,,165,,,36,,,,,,,,,,,42,243
52,สุโขทัย,,,,,16,,,,,,,,,,,107,123
53,พิษณุโลก,,,12,,,,,,,,,,,,,152,164
54,พิจิตร,,,,,259,,,,,,,,,,,,259
55,เพชรบูรณ์,,168,,,112,,,,,,,,,,,20,300
,ภาคตะวันตก,,683,"1,393",,996,,159,,,,,,,,242,"3,629","7,102"
56,ราชบุรี,,12,286,,287,,6,,,,,,,,,118,709
57,กาญจนบุรี,,54,259,,109,,36,,,,,,,,,297,755
58,สุพรรณบุรี,,42,183,,265,,,,,,,,,,,173,663
59,นครปฐม,,114,579,,139,,,,,,,,,,,612,"1,445"
60,สมุทรสาคร,,54,73,,164,,117,,,,,,,,242,"1,872","2,522"
61,สมุทรสงคราม,,47,,,,,,,,,,,,,,,47
62,เพชรบุรี,,24,,,,,,,,,,,,,,114,138
63,ประจวบคีรีขันธ์,,337,12,,32,,,,,,,,,,,443,824
,ภาคใต้,,"1,532","2,508",,253,36,24,,,,,,,,68,"4,021","8,442"
,ภาคใต้ตอนบน,,"1,150","2,246",,238,15,24,,,,,,,,68,"1,767","5,508"
64,นครศรีธรรมราช,,27,12,,24,,,,,,,,,,,682,745
65,กระบี่,,28,,,45,,,,,,,,,,,32,105
66,พังงา,,,15,,,,,,,,,,,,,176,191
67,ภูเก็ต,,232,,,16,,,,,,,,,,,178,426
68,สุราษฎร์ธานี,,791,"2,219",,153,15,24,,,,,,,,,328,"3,529"
69,ระนอง,,,,,,,,,,,,,,,,,
70,ชุมพร,,73,,,,,,,,,,,,,68,371,512
,ภาคใต้ตอนล่าง,,382,262,,15,21,,,,,,,,,,"2,254","2,934"
71,สงขลา,,158,262,,15,21,,,,,,,,,,"1,661","2,117"
72,สตูล,,,,,,,,,,,,,,,,66,66
73,ตรัง,,,,,,,,,,,,,,,,432,432
74,พัทลุง,,,,,,,,,,,,,,,,54,54
75,ปัตตานี,,,,,,,,,,,,,,,,,
76,ยะลา,,,,,,,,,,,,,,,,42,42
77,นราธิวาส,,224,,,,,,,,,,,,,,,224
,ปริมาณรวมทั้งสิ้น,,"12,656","14,833",,"13,966",841,"2,522",,,,74,,,,"1,472","34,746","81,110"
