ตารางแสดงปริมาณ น้ำมันดีเซลหมุนเร็ว ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
สาขา อื่น ๆ,,,,,,,,,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,พี.ซี.สยาม,ยูนิคแก๊ส,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,สยามเฆมี,ปตท. ค้าปลีก,น้ำมัน ไออาร์พีซี,ไออาร์พีซี,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
,กรุงเทพฯ และปริมณฑล,,"3,271","15,208","6,256","1,663",296,,,550,,,"2,048",,,"26,404","4,770","60,466"
1,กรุงเทพมหานคร,,"3,066","14,918","4,918","1,376",296,,,550,,,,,,"25,614","4,658","55,395"
2,สมุทรปราการ,,46,60,378,153,,,,,,,"1,510",,,429,,"2,576"
3,นนทบุรี,,160,230,131,119,,,,,,,537,,,346,112,"1,635"
4,ปทุมธานี,,,,830,15,,,,,,,,,,15,,860
,ภาคกลาง,,176,,"3,598",158,,,,,,,114,,,242,776,"5,065"
5,พระนครศรีอยุธยา,,176,,"1,532",,,,,,,,,,,,12,"1,721"
6,อ่างทอง,,,,,,,,,,,,,,,,,
7,ลพบุรี,,,,,,,,,,,,,,,,764,764
8,สิงห์บุรี,,,,,,,,,,,,,,,,,
9,ชัยนาท,,,,,,,,,,,,,,,,,
10,สระบุรี,,,,"2,066",158,,,,,,,114,,,242,,"2,579"
,ภาคตะวันออก,,397,"1,078","4,322",16,16,,,,,,,,,271,872,"6,973"
11,ชลบุรี,,383,"1,078","2,376",16,,,,,,,,,,52,414,"4,319"
12,ระยอง,,,,"1,180",,,,,,,,,,,204,109,"1,493"
13,จันทบุรี,,15,,60,,,,,,,,,,,15,,90
14,ตราด,,,,,,,,,,,,,,,,,
15,ฉะเชิงเทรา,,,,325,,16,,,,,,,,,,349,690
16,ปราจีนบุรี,,,,,,,,,,,,,,,,,
17,นครนายก,,,,,,,,,,,,,,,,,
18,สระแก้ว,,,,381,,,,,,,,,,,,,381
,ภาคตะวันออกเฉียงเหนือ,,270,"1,509","7,159",19,,,,,,,,,,937,"3,232","13,126"
,ภาคตะวันออกเฉียงเหนือตอนบน,,54,,"2,487",,,,,,,,,,,346,326,"3,213"
19,ขอนแก่น,,24,,72,,,,,,,,,,,,287,383
20,อุดรธานี,,,,"2,415",,,,,,,,,,,,,"2,415"
21,เลย,,,,,,,,,,,,,,,,,
22,หนองคาย,,30,,,,,,,,,,,,,,,30
23,มหาสารคาม,,,,,,,,,,,,,,,,,
24,ร้อยเอ็ด,,,,,,,,,,,,,,,346,,346
25,กาฬสินธุ์,,,,,,,,,,,,,,,,,
26,สกลนคร,,,,,,,,,,,,,,,,39,39
27,นครพนม,,,,,,,,,,,,,,,,,
28,มุกดาหาร,,,,,,,,,,,,,,,,,
29,บึงกาฬ,,,,,,,,,,,,,,,,,
,ภาคตะวันออกเฉียงเหนือตอนล่าง,,216,"1,509","4,672",19,,,,,,,,,,591,"2,906","9,913"
30,นครราชสีมา,,193,"1,436","3,374",,,,,,,,,,,97,"1,374","6,474"
31,บุรีรัมย์,,11,73,112,4,,,,,,,,,,,32,232
32,สุรินทร์,,,,,,,,,,,,,,,,255,255
33,ศรีสะเกษ,,,,"1,186",15,,,,,,,,,,,395,"1,596"
34,อุบลราชธานี,,,,,,,,,,,,,,,348,804,"1,152"
35,ยโสธร,,,,,,,,,,,,,,,,47,47
36,ชัยภูมิ,,12,,,,,,,,,,,,,146,,158
37,อำนาจเจริญ,,,,,,,,,,,,,,,,,
38,หนองบัวลำภู,,,,,,,,,,,,,,,,,
,ภาคเหนือ,,456,"4,165",749,,,,,,,,,,,"3,792","2,177","11,338"
,ภาคเหนือบน,,241,"4,031",100,,,,,,,,,,,"3,792","1,877","10,041"
39,เชียงใหม่,,,"4,031",,,,,,,,,,,,,543,"4,574"
40,ลำพูน,,,,,,,,,,,,,,,,,
41,ลำปาง,,,,,,,,,,,,,,,"3,792","1,154","4,946"
42,อุตรดิตถ์,,,,,,,,,,,,,,,,,
43,แพร่,,,,,,,,,,,,,,,,,
44,น่าน,,241,,,,,,,,,,,,,,149,390
45,พะเยา,,,,,,,,,,,,,,,,,
46,เชียงราย,,,,100,,,,,,,,,,,,,100
47,แม่ฮ่องสอน,,,,,,,,,,,,,,,,31,31
,ภาคเหนือตอนล่าง,,214,134,649,,,,,,,,,,,,300,"1,297"
48,นครสวรรค์,,66,134,,,,,,,,,,,,,,199
49,อุทัยธานี,,,,,,,,,,,,,,,,,
50,กำแพงเพชร,,,,,,,,,,,,,,,,,
51,ตาก,,,,,,,,,,,,,,,,,
52,สุโขทัย,,84,,,,,,,,,,,,,,300,384
53,พิษณุโลก,,65,,235,,,,,,,,,,,,,299
54,พิจิตร,,,,414,,,,,,,,,,,,,414
55,เพชรบูรณ์,,,,,,,,,,,,,,,,,
,ภาคตะวันตก,,"1,274","1,380","1,921",171,,,,,,,,,,"1,415","1,042","7,203"
56,ราชบุรี,,,,231,,,,,,,,,,,,"1,013","1,245"
57,กาญจนบุรี,,15,,617,,,,,,,,,,,"1,174",25,"1,831"
58,สุพรรณบุรี,,,,,,,,,,,,,,,88,,88
59,นครปฐม,,16,,507,,,,,,,,,,,,,523
60,สมุทรสาคร,,29,,,78,,,,,,,,,,,,107
61,สมุทรสงคราม,,12,,,15,,,,,,,,,,,,27
62,เพชรบุรี,,"1,202","1,380",565,18,,,,,,,,,,28,,"3,193"
63,ประจวบคีรีขันธ์,,,,,60,,,,,,,,,,125,4,189
,ภาคใต้,,"1,614",716,"10,856",,292,,"1,246",,,,,,,"1,614","10,916","27,254"
,ภาคใต้ตอนบน,,"1,045",64,"2,607",,269,,"1,246",,,,,,,"1,537","2,095","8,863"
64,นครศรีธรรมราช,,871,64,"1,980",,3,,,,,,,,,,"1,357","4,275"
65,กระบี่,,,,11,,,,,,,,,,,,,11
66,พังงา,,,,,,21,,,,,,,,,,,21
67,ภูเก็ต,,120,,232,,60,,,,,,,,,,264,675
