ตารางแสดงปริมาณ น้ำมันดีเซลหมุนเร็ว ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
สาขา สถานีบริการ,,,,,,,,,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,พี.ซี.สยาม,ยูนิคแก๊ส,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,สยามเฆมี,ปตท. ค้าปลีก,น้ำมัน ไออาร์พีซี,ไออาร์พีซี,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
,กรุงเทพฯ และปริมณฑล,"8,432","43,109","65,072","14,008","46,903","4,011",448,,,,"3,106",,"20,828",,173,"53,788","259,878"
1,กรุงเทพมหานคร,"6,636","24,778","31,493","6,096","25,486","3,150",108,,,,"1,713",,"6,994",,,"32,963","139,417"
2,สมุทรปราการ,"1,538","10,482","14,132","3,073","11,381",144,,,,,788,,"3,544",,,"5,285","50,367"
3,นนทบุรี,,"4,194","6,122","1,652","4,969",68,60,,,,605,,"4,151",,173,"5,473","27,465"
4,ปทุมธานี,257,"3,655","13,326","3,187","5,067",649,280,,,,,,"6,139",,,"10,068","42,628"
,ภาคกลาง,56,"12,652","10,807","4,998","18,178",760,991,,,,306,,"6,625",139,,"28,508","84,020"
5,พระนครศรีอยุธยา,,"7,592","4,203","3,111","6,723",223,350,,,,306,,"3,724",139,,"8,641","35,011"
6,อ่างทอง,,325,393,270,"2,619",25,140,,,,,,,,,"1,479","5,251"
7,ลพบุรี,56,"1,127",343,265,"2,242",,173,,,,,,904,,,"5,678","10,788"
8,สิงห์บุรี,,623,602,115,694,,78,,,,,,552,,,"2,377","5,041"
