ตารางแสดงปริมาณ น้ำมันดีเซลหมุนเร็ว ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
สาขา การขนส่ง,,,,,,,,,,,,,,,,,,
ตั้งแต่เดือน กรกฎาคม ถึง เดือน กรกฎาคม 2561,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,พี.ซี.สยาม,ยูนิคแก๊ส,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,สยามเฆมี,ปตท. ค้าปลีก,น้ำมัน ไออาร์พีซี,ไออาร์พีซี,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
,กรุงเทพฯ และปริมณฑล,97,631,"7,939",,"2,112",124,705,,,,,,,,"4,584","1,604","17,795"
1,กรุงเทพมหานคร,97,402,"5,015",,"1,155",105,689,,,,,,,,"4,360","1,104","12,926"
2,สมุทรปราการ,,96,"2,026",,803,,,,,,,,,,224,237,"3,386"
3,นนทบุรี,,,314,,67,,,,,,,,,,,,381
4,ปทุมธานี,,134,583,,87,19,16,,,,,,,,,264,"1,103"
,ภาคกลาง,,442,"1,791",,490,27,,,,,,,,,130,"1,979","4,858"
5,พระนครศรีอยุธยา,,116,451,,267,27,,,,,,,,,96,302,"1,259"
6,อ่างทอง,,,,,,,,,,,,,,,,,
7,ลพบุรี,,,179,,,,,,,,,,,,,,179
8,สิงห์บุรี,,,,,,,,,,,,,,,,,
9,ชัยนาท,,60,,,,,,,,,,,,,,,60
10,สระบุรี,,266,"1,160",,223,,,,,,,,,,34,"1,676","3,360"
,ภาคตะวันออก,,829,"2,158",,"1,164",8,102,,,,30,,,,290,994,"5,575"
11,ชลบุรี,,210,938,,363,,38,,,,,,,,82,614,"2,246"
12,ระยอง,,296,"1,172",,657,8,64,,,,30,,,,,352,"2,580"
13,จันทบุรี,,,,,,,,,,,,,,,,,
14,ตราด,,,,,,,,,,,,,,,,,
15,ฉะเชิงเทรา,,323,48,,112,,,,,,,,,,208,15,706
16,ปราจีนบุรี,,,,,,,,,,,,,,,,12,12
17,นครนายก,,,,,,,,,,,,,,,,,
18,สระแก้ว,,,,,32,,,,,,,,,,,,32
,ภาคตะวันออกเฉียงเหนือ,,119,"6,483",,579,,12,,,,,,,,,"1,916","9,109"
,ภาคตะวันออกเฉียงเหนือตอนบน,,24,"1,476",,,,,,,,,,,,,462,"1,962"
19,ขอนแก่น,,24,"1,146",,,,,,,,,,,,,431,"1,601"
20,อุดรธานี,,,,,,,,,,,,,,,,31,31
21,เลย,,,,,,,,,,,,,,,,,
22,หนองคาย,,,93,,,,,,,,,,,,,,93
23,มหาสารคาม,,,237,,,,,,,,,,,,,,237
24,ร้อยเอ็ด,,,,,,,,,,,,,,,,,
25,กาฬสินธุ์,,,,,,,,,,,,,,,,,
26,สกลนคร,,,,,,,,,,,,,,,,,
27,นครพนม,,,,,,,,,,,,,,,,,
28,มุกดาหาร,,,,,,,,,,,,,,,,,
29,บึงกาฬ,,,,,,,,,,,,,,,,,
,ภาคตะวันออกเฉียงเหนือตอนล่าง,,95,"5,007",,579,,12,,,,,,,,,"1,455","7,148"
30,นครราชสีมา,,79,"1,508",,379,,12,,,,,,,,,285,"2,263"
31,บุรีรัมย์,,,"1,289",,,,,,,,,,,,,"1,002","2,291"
32,สุรินทร์,,,,,,,,,,,,,,,,,
33,ศรีสะเกษ,,,649,,,,,,,,,,,,,,649
34,อุบลราชธานี,,16,,,200,,,,,,,,,,,144,360
35,ยโสธร,,,353,,,,,,,,,,,,,,353
36,ชัยภูมิ,,,"1,208",,,,,,,,,,,,,,"1,208"
37,อำนาจเจริญ,,,,,,,,,,,,,,,,24,24
38,หนองบัวลำภู,,,,,,,,,,,,,,,,,
,ภาคเหนือ,,203,"1,613",,698,,,,,,,,,,,"2,710","5,223"
,ภาคเหนือบน,,60,227,,31,,,,,,,,,,,284,602
39,เชียงใหม่,,,227,,16,,,,,,,,,,,94,337
40,ลำพูน,,,,,,,,,,,,,,,,,
41,ลำปาง,,60,,,,,,,,,,,,,,98,158
42,อุตรดิตถ์,,,,,,,,,,,,,,,,,
43,แพร่,,,,,15,,,,,,,,,,,,15
44,น่าน,,,,,,,,,,,,,,,,,
45,พะเยา,,,,,,,,,,,,,,,,,
46,เชียงราย,,,,,,,,,,,,,,,,92,92
47,แม่ฮ่องสอน,,,,,,,,,,,,,,,,,
,ภาคเหนือตอนล่าง,,143,"1,385",,667,,,,,,,,,,,"2,426","4,621"
48,นครสวรรค์,,,"1,044",,173,,,,,,,,,,,671,"1,889"
49,อุทัยธานี,,,,,118,,,,,,,,,,,,118
50,กำแพงเพชร,,,341,,288,,,,,,,,,,,244,873
51,ตาก,,,,,48,,,,,,,,,,,51,99
52,สุโขทัย,,,,,,,,,,,,,,,,,
53,พิษณุโลก,,143,,,,,,,,,,,,,,"1,460","1,603"
54,พิจิตร,,,,,,,,,,,,,,,,,
55,เพชรบูรณ์,,,,,40,,,,,,,,,,,,40
,ภาคตะวันตก,,,"1,116",,129,,,,,,,,,,32,366,"1,643"
56,ราชบุรี,,,359,,,,,,,,,,,,,152,511
57,กาญจนบุรี,,,,,,,,,,,,,,,,101,101
58,สุพรรณบุรี,,,,,,,,,,,,,,,,,
59,นครปฐม,,,272,,,,,,,,,,,,,99,371
60,สมุทรสาคร,,,485,,41,,,,,,,,,,32,15,573
61,สมุทรสงคราม,,,,,,,,,,,,,,,,,
62,เพชรบุรี,,,,,54,,,,,,,,,,,,54
63,ประจวบคีรีขันธ์,,,,,34,,,,,,,,,,,,34
,ภาคใต้,,637,580,,76,96,,,,,,,,,115,"2,793","4,297"
,ภาคใต้ตอนบน,,637,580,,76,6,,,,,,,,,40,464,"1,802"
64,นครศรีธรรมราช,,12,,,,,,,,,,,,,,105,117
65,กระบี่,,,,,30,,,,,,,,,,,,30
66,พังงา,,,30,,,,,,,,,,,,,,30
67,ภูเก็ต,,34,15,,,,,,,,,,,,,,49
68,สุราษฎร์ธานี,,268,232,,46,6,,,,,,,,,,328,879
69,ระนอง,,,,,,,,,,,,,,,,31,31
70,ชุมพร,,323,303,,,,,,,,,,,,40,,666
,ภาคใต้ตอนล่าง,,,,,,90,,,,,,,,,75,"2,329","2,494"
71,สงขลา,,,,,,90,,,,,,,,,75,"2,329","2,494"
72,สตูล,,,,,,,,,,,,,,,,,
73,ตรัง,,,,,,,,,,,,,,,,,
74,พัทลุง,,,,,,,,,,,,,,,,,
75,ปัตตานี,,,,,,,,,,,,,,,,,
76,ยะลา,,,,,,,,,,,,,,,,,
77,นราธิวาส,,,,,,,,,,,,,,,,,
,ปริมาณรวมทั้งสิ้น,97,"2,861","21,680",,"5,248",255,819,,,,30,,,,"5,151","12,361","48,501"
