ผู้สมัครรับเลือกตั้งสมาชิกวุฒิสภา,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
วันที่ 30 มีนาคม 2557,,,,,,
,,,,,,
จังหวัด,ชื่อผู้สมัคร,หมายเลข,เพศ,ช่วงอายุ,วุฒิการศึกษา,อาชีพ
กรุงเทพมหานคร,คุณหญิงจารุวรรณ เมณฑกา,8,หญิง,61 - 70 ปี,ปริญญาเอก,ข้าราชการบำนาญ
กรุงเทพมหานคร,นางตรีรัตน์ เซ่งไพเราะ,7,หญิง,51 - 60 ปี,ปริญญาโท,อาชีพอื่นๆ
กรุงเทพมหานคร,นางพรทิพย์ ลยานันท์,13,หญิง,51 - 60 ปี,ปริญญาเอก,ข้าราชการบำนาญ
กรุงเทพมหานคร,นางลีนา จังจรรจา,3,หญิง,51 - 60 ปี,ปริญญาตรี,ทนาย/นักกฎหมาย
กรุงเทพมหานคร,นางสาวปิยะสุดา แพ่งสภา,6,หญิง,40 - 50 ปี,ปริญญาเอก,ครู/อาจารย์/นักวิชาการ
กรุงเทพมหานคร,นายกรสัณห์ กันยะพงศ์,12,ชาย,51 - 60 ปี,ปริญญาโท,ที่ปรึกษา
กรุงเทพมหานคร,นายโฆสิต สุวินิจจิต,9,ชาย,51 - 60 ปี,ปริญญาโท,ธุรกิจส่วนตัว/ค้าขาย
กรุงเทพมหานคร,นายชาญชัย โกศลธนากุล,16,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการบำนาญ
กรุงเทพมหานคร,นายประทีป พุทธรักษ์ภักดี,17,ชาย,40 - 50 ปี,ปริญญาโท,อาชีพอื่นๆ
กรุงเทพมหานคร,นายปิยชาติ วีรเดชะ,10,ชาย,61 - 70 ปี,ปริญญาโท,ทนาย/นักกฎหมาย
กรุงเทพมหานคร,นายพรชัย รัศมีแพทย์,15,ชาย,61 - 70 ปี,ปริญญาโท,อาชีพอื่นๆ
กรุงเทพมหานคร,นายมงคล กิมสูนจันทร์,14,ชาย,61 - 70 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
กรุงเทพมหานคร,นายมงคล ประสาทเสรี,11,ชาย,61 - 70 ปี,ปริญญาโท,ที่ปรึกษา
กรุงเทพมหานคร,นายวิทยา จังกอบพัฒนา,18,ชาย,61 - 70 ปี,ปริญญาตรี,อาชีพอื่นๆ
กรุงเทพมหานคร,นายศรีสุวรรณ จรรยา,2,ชาย,40 - 50 ปี,ปริญญาโท,อาชีพอื่นๆ
กรุงเทพมหานคร,นายอรุณ คนหลัก,5,ชาย,51 - 60 ปี,ปริญญาตรี,ข้าราชการประจำ
กรุงเทพมหานคร,พลตำรวจตรี สุพิศาล ภักดีนฤนาถ,1,ชาย,51 - 60 ปี,ปริญญาเอก,ข้าราชการประจำ
กรุงเทพมหานคร,ว่าที่พันตรี อาชว์ โครงกาพย์,4,ชาย,40 - 50 ปี,ปริญญาตรี,ครู/อาจารย์/นักวิชาการ
กระบี่,นายชำนาญวิทย์ บางทอง,6,ชาย,51 - 60 ปี,ปริญญาโท,ครู/อาจารย์/นักวิชาการ
กระบี่,นายวิรัช สีหมุ่น,7,ชาย,40 - 50 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
กระบี่,นายสมเกียรติ กิจธรรมเชษฐ์,2,ชาย,51 - 60 ปี,ปริญญาตรี,แพทย์
กระบี่,นายแสงชัย วสุนธรา,5,ชาย,51 - 60 ปี,ปริญญาโท,ธุรกิจส่วนตัว/ค้าขาย
กระบี่,นายอดิเรก เอ่งฉ้วน,4,ชาย,51 - 60 ปี,ปริญญาตรี,ทนาย/นักกฎหมาย
กระบี่,นายอภิชาติ ดำดี,1,ชาย,51 - 60 ปี,ปริญญาเอก,ครู/อาจารย์/นักวิชาการ
กระบี่,ว่าที่ ร้อยตรีศรีศักดิ์ คำฝอย,3,ชาย,40 - 50 ปี,ปริญญาตรี,อาชีพอื่นๆ
กาญจนบุรี,นางมนรัตน์ สารภาพ,3,หญิง,51 - 60 ปี,ปริญญาโท,อาชีพอื่นๆ
กาญจนบุรี,นายมานพ อินทะบุตร,5,ชาย,40 - 50 ปี,ปริญญาตรี,อาชีพอื่นๆ
กาญจนบุรี,นายวิมล พนมศักดิ์,6,ชาย,61 - 70 ปี,ปริญญาตรี,อาชีพอื่นๆ
กาญจนบุรี,นายศรชัย พวงลำเจียก,4,ชาย,40 - 50 ปี,ปริญญาตรี,อาชีพอื่นๆ
กาญจนบุรี,นายเสนาะ ศิลาแรง,2,ชาย,71 - 80 ปี,ปริญญาโท,ข้าราชการบำนาญ
กาญจนบุรี,พลเอกองอาจ พงษ์ศักดิ์,1,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการบำนาญ
กาฬสินธุ์,นายทิวา แจ้งสุข,5,ชาย,40 - 50 ปี,ปริญญาโท,อาชีพอื่นๆ
กาฬสินธุ์,นายประยงค์ โมคภา,2,ชาย,61 - 70 ปี,ปริญญาโท,อาชีพอื่นๆ
กาฬสินธุ์,นายแพน พรไตรศักดิ์,4,ชาย,51 - 60 ปี,ปริญญาโท,ข้าราชการประจำ
กาฬสินธุ์,นายวิรัช พิมพะนิตย์,1,ชาย,51 - 60 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
กาฬสินธุ์,นายวิวรรธนไชย ณ กาฬสินธุ์,3,ชาย,61 - 70 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
กำแพงเพชร,นายจุลพันธ์ ทับทิม,1,ชาย,51 - 60 ปี,ปริญญาโท,นักการเมือง
กำแพงเพชร,นายธนทัต ประเสริฐนู,3,ชาย,40 - 50 ปี,ปริญญาโท,อาชีพอื่นๆ
กำแพงเพชร,นายพเยาว์ เมฆพินธุ์,5,ชาย,51 - 60 ปี,ปริญญาโท,ธุรกิจส่วนตัว/ค้าขาย
กำแพงเพชร,นายออมสิน สุขภิการนนท์,4,ชาย,61 - 70 ปี,ปริญญาตรี,ข้าราชการบำนาญ
กำแพงเพชร,นายอุดม วราหะ,2,ชาย,61 - 70 ปี,ปริญญาตรี,อาชีพอื่นๆ
ขอนแก่น,นายโกเมศ ทีฆธนานนท์,2,ชาย,51 - 60 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
ขอนแก่น,นายฐิตินันท์ แสงนาค,3,ชาย,51 - 60 ปี,ปริญญาโท,ธุรกิจส่วนตัว/ค้าขาย
ขอนแก่น,นายประเสริฐ สัจจาวิริยะ,7,ชาย,51 - 60 ปี,ปริญญาเอก,รับจ้าง/อาชีพอิสระ
ขอนแก่น,นายวัน สุวรรณพงษ์,1,ชาย,71 - 80 ปี,ปริญญาตรี,ทนาย/นักกฎหมาย
ขอนแก่น,นายศุภสิธ เตชะตานลท์,4,ชาย,71 - 80 ปี,ปริญญาโท,รับจ้าง/อาชีพอิสระ
ขอนแก่น,นายสุธน สอนคำแก้ว,5,ชาย,40 - 50 ปี,ปริญญาโท,ทนาย/นักกฎหมาย
ขอนแก่น,นายสุวิทย์ นามบุญเรือง,6,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการประจำ
จันทบุรี,นางพจนา กิจกาญจน์,2,หญิง,40 - 50 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
จันทบุรี,นายสันติ พลอยล้อมเพชร,3,ชาย,40 - 50 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
จันทบุรี,นายสุรพงษ์ สุวรรณหิตาธร,1,ชาย,61 - 70 ปี,ปริญญาตรี,รับจ้าง/อาชีพอิสระ
ฉะเชิงเทรา,นายเชาวลิต เจริญพร,3,ชาย,51 - 60 ปี,ปริญญาโท,แพทย์
ฉะเชิงเทรา,นายสุเชน ทั่วทิพย์,2,ชาย,51 - 60 ปี,ปริญญาตรี,ทนาย/นักกฎหมาย
ฉะเชิงเทรา,นายสุนันต์ อรุณนพรัตน์,1,ชาย,61 - 70 ปี,ปริญญาตรี,ข้าราชการบำนาญ
ชลบุรี,นายกำพล ตั้งเอกชัย,3,ชาย,40 - 50 ปี,ปริญญาตรี,ครู/อาจารย์/นักวิชาการ
ชลบุรี,นายวิชัย จุลวนิชย์พงษ์,6,ชาย,51 - 60 ปี,ปริญญาตรี,แพทย์
ชลบุรี,นายสมชาย พัฒนะเอนก,4,ชาย,51 - 60 ปี,ปริญญาตรี,แพทย์
ชลบุรี,นายสุรสิทธิ์ นิธิวุฒิวรรักษ์,2,ชาย,51 - 60 ปี,ปริญญาตรี,นักการเมือง
ชลบุรี,นายแสงศร สุนทรศิลป์ชัย,1,ชาย,61 - 70 ปี,ปริญญาตรี,อาชีพอื่นๆ
ชลบุรี,พลตำรวจตรีบัณฑิต คุณจักร์,5,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการบำนาญ
ชัยนาท,นางจิณาภา ทรัพย์วิสุทธิ์,5,หญิง,51 - 60 ปี,ปริญญาเอก,ธุรกิจส่วนตัว/ค้าขาย
ชัยนาท,นางสาววรรณอนงค์ ทรัพย์รวงทอง,1,หญิง,51 - 60 ปี,ปริญญาโท,ธุรกิจส่วนตัว/ค้าขาย
ชัยนาท,นายจำลอง โพธิ์สุข,4,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการบำนาญ
ชัยนาท,นายจุติพงษ์  พุ่มมูล,3,ชาย,40 - 50 ปี,ปริญญาโท,อาชีพอื่นๆ
ชัยนาท,นายมณเฑียร สงฆ์ประชา,2,ชาย,51 - 60 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
ชัยภูมิ,นางลัดดา วงศ์ใหญ่,6,หญิง,51 - 60 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
ชัยภูมิ,นายบัณฑูรย์ เกียรติก้องชูชัย,5,ชาย,40 - 50 ปี,ปริญญาตรี,อาชีพอื่นๆ
ชัยภูมิ,นายสมมิตร รื่นรวย,7,ชาย,51 - 60 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
ชัยภูมิ,นายสุดตา วงศ์นรา,1,ชาย,มากกว่า 80 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
ชัยภูมิ,นายอุปกรณ์ วงศ์นรา,3,ชาย,51 - 60 ปี,ปริญญาตรี,รับจ้าง/อาชีพอิสระ
ชัยภูมิ,พลตำรวจโทสุกิจ อุดมเศรษฐ์,2,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการบำนาญ
ชัยภูมิ,พันตำรวจโทวรินทร์ สวัสดิ์โรจน์,4,ชาย,51 - 60 ปี,ปริญญาตรี,ข้าราชการบำนาญ
ชุมพร,นางสาววรรณา แซ่ติ้ง,2,หญิง,51 - 60 ปี,ปริญญาโท,เกษตรกร
ชุมพร,นายพงศา ชูแนม,4,ชาย,40 - 50 ปี,ปริญญาตรี,ข้าราชการประจำ
ชุมพร,นายสัญญา ปานสวี,6,ชาย,51 - 60 ปี,ปริญญาตรี,เกษตรกร
ชุมพร,นายสุทรรศ พะลัง,3,ชาย,51 - 60 ปี,ปริญญาโท,เกษตรกร
ชุมพร,พันตำรวจเอกนรินทร์ บุษยวิทย์,1,ชาย,51 - 60 ปี,ปริญญาตรี,ข้าราชการประจำ
ชุมพร,พันตำรวจเอกเอกวัฒน์ โพธิ์เย็นญาติ,5,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการประจำ
เชียงราย,นางเตือนใจ ดีเทศน์,1,หญิง,61 - 70 ปี,ปริญญาตรี,ครู/อาจารย์/นักวิชาการ
เชียงราย,นางสาวพนิดา มะโนธรรม,5,หญิง,40 - 50 ปี,ปริญญาตรี,เกษตรกร
เชียงราย,นายประสิทธิ บุญยืน,6,ชาย,61 - 70 ปี,ปริญญาตรี,ทนาย/นักกฎหมาย
เชียงราย,นายปรีชา พัวนุกุลนนท์,2,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการบำนาญ
เชียงราย,นายมงคลชัย ดวงแสงทอง,3,ชาย,51 - 60 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
เชียงราย,นายศักดิ์ชัย จงสุขธนามณี,4,ชาย,51 - 60 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
เชียงใหม่,นายกฤษณพงษ์ พรมบึงรำ,7,ชาย,51 - 60 ปี,ปริญญาโท,อาชีพอื่นๆ
เชียงใหม่,นายชำนาญ จันทร์เรือง,4,ชาย,51 - 60 ปี,ปริญญาโท,ครู/อาจารย์/นักวิชาการ
เชียงใหม่,นายถาวร เกียรติไชยากร,6,ชาย,61 - 70 ปี,ปริญญาเอก,ครู/อาจารย์/นักวิชาการ
เชียงใหม่,นายบุญทา ชัยเลิศ,13,ชาย,51 - 60 ปี,ปริญญาเอก,ข้าราชการบำนาญ
เชียงใหม่,นายพงศ์พันธุ์ ไชยวัณณ์,5,ชาย,61 - 70 ปี,ปริญญาโท,ข้าราชการบำนาญ
เชียงใหม่,นายพรศักดิ์ สังข์สังวาลย์,8,ชาย,40 - 50 ปี,ปริญญาโท,ทนาย/นักกฎหมาย
เชียงใหม่,นายเพทาย เตโชฬาร,2,ชาย,40 - 50 ปี,ปริญญาตรี,แพทย์
เชียงใหม่,นายวชิระ เรืองพรวิสุทธิ์,12,ชาย,51 - 60 ปี,ปริญญาตรี,ธุรกิจส่วนตัว/ค้าขาย
เชียงใหม่,นายสมพงศ์ ค่ายคำ,1,ชาย,61 - 70 ปี,ปริญญาเอก,ข้าราชการบำนาญ
เชียงใหม่,นายสัมพันธ์ ฉัตรมงคลพันธ์,11,ชาย,61 - 70 ปี,ปริญญาเอก,ทนาย/นักกฎหมาย
เชียงใหม่,นายอดิศร กำเนิดศิริ,3,ชาย,51 - 60 ปี,ปริญญาโท,ข้าราชการบำนาญ
เชียงใหม่,นายอภิวัฒน์ คุณารักษ์,9,ชาย,51 - 60 ปี,ปริญญาตรี,ข้าราชการบำนาญ
