ผลคะแนนการเลือกตั้งสมาชิกสภาวุฒิสภา,Unnamed: 1,Unnamed: 2,Unnamed: 3
วันที่ 2 มีนาคม 2551,,,
,,,
จังหวัด,ชื่อผู้สมัคร,หมายเลข,คะแนน
กรุงเทพมหานคร,ดาบตำรวจวิบูลย์ศักดิ์ หนันดี,33,"2,199"
กรุงเทพมหานคร,นางเจตนิพิฐ ลิ่มประเสริฐ,25,"4,537"
กรุงเทพมหานคร,นางชุตินธร วัชรขจร,22,"7,956"
กรุงเทพมหานคร,นางปรางค์ทิพย์ พินิจารมณ์,13,"7,961"
กรุงเทพมหานคร,นางสาวรสนา โตสิตระกูล,5,"743,397"
กรุงเทพมหานคร,นางสาวศิริพรรณ เลาหวัฒนภิญโญ,21,"3,252"
กรุงเทพมหานคร,นายเจตน์ ทองคำ,17,"5,872"
กรุงเทพมหานคร,นายชยงค์ นามเมือง,7,"9,426"
กรุงเทพมหานคร,นายชิงชัย รอดชนะ,31,"3,958"
กรุงเทพมหานคร,นายธนช รัตนศาสตร์สุข,3,"6,488"
กรุงเทพมหานคร,นายธนชาต เพิ่มลาภตระกูล,30,"3,340"
กรุงเทพมหานคร,นายธันยพงศ์ วงศ์แก่นสาร,8,"8,267"
กรุงเทพมหานคร,นายนิติพงษ์ ห่อนาค,29,"221,067"
กรุงเทพมหานคร,นายประทีป พิทยวรพงศ์,1,"13,327"
กรุงเทพมหานคร,นายพิชิต โอบอ้อม,10,"11,924"
กรุงเทพมหานคร,นายภาคภูมิ ปิตยานนท์,27,"4,923"
กรุงเทพมหานคร,นายมานิต วิทยาเต็ม,15,"75,882"
กรุงเทพมหานคร,นายยงชัย งามอุษาวรรณ,11,"2,360"
กรุงเทพมหานคร,นายวินิต ช่อวิเชียร,9,"23,431"
กรุงเทพมหานคร,นายวิรัช เพ็งจุ้ย,23,"3,213"
กรุงเทพมหานคร,นายศักดา มหานันทโพธิ์,14,"2,443"
กรุงเทพมหานคร,นายศักดา ศรีวิริยะไพบูลย์,19,"14,237"
กรุงเทพมหานคร,นายสมควร บรูมินเหนทร์,4,"14,049"
กรุงเทพมหานคร,นายสรวิศ เกียรติศรีสิริ,20,"5,469"
กรุงเทพมหานคร,นายสรสินธุ ไตรจักรภพ,24,"40,551"
กรุงเทพมหานคร,นายสาชล โล้วิชากรติกุล,28,"3,516"
กรุงเทพมหานคร,นายสุริยัน สมประสิทธิ์,18,"3,605"
กรุงเทพมหานคร,นายสุวิชัย ธรรมศรีสกุล,34,"3,490"
กรุงเทพมหานคร,นายสุวิทย์ ยศวงค์ใจ,16,"3,554"
กรุงเทพมหานคร,นายอนันต์ ภู่สถาพร,35,"1,853"
กรุงเทพมหานคร,นายอนุสรณ์ ธรรมใจ,6,"195,714"
กรุงเทพมหานคร,พันตำรวจโทนิตินัย จันทรวิจิตร,12,"18,172"
กรุงเทพมหานคร,ร้อยตำรวจตรีจักรี เศวตรัตน์,32,"3,542"
กรุงเทพมหานคร,ร้อยเอกพรชัย รัศมีแพทย์,2,"11,006"
กรุงเทพมหานคร,เรือตรีสรศักด์ ฮวบดี,26,"9,276"
กระบี่,นายฉลวย รอดเกิด,3,"22,516"
กระบี่,นายภิญโญ สายนุ้ย,1,"60,191"
กระบี่,นายสาธิต เกี่ยวข้อง,4,"22,510"
กระบี่,นายแสงชัย วสุนธรา,2,"54,431"
กาญจนบุรี,นายสุรพงษ์ ตันธนศรีกุล,1,"191,173"
กาญจนบุรี,นายเสนาะ ศิลาแรง,2,"48,763"
กาฬสินธุ์,นายกิตติศักดิ์ ไพศาล,8,"7,318"
กาฬสินธุ์,นายเดช ปรีดี,3,"14,737"
กาฬสินธุ์,นายนิติลักษณ์ ณ กาฬสินธุ์,2,"41,756"
กาฬสินธุ์,นายประยงค์ โมคภา,4,"106,913"
กาฬสินธุ์,นายประเสริฐ เคนสุโพธิ์,10,"3,569"
กาฬสินธุ์,นายพฤฒิ พละจิต,5,"5,765"
กาฬสินธุ์,นายวีระพันธ์ แสนศรีมหาชัย,1,"11,663"
กาฬสินธุ์,นายสวาท เอกตาแสง,9,"3,591"
กาฬสินธุ์,นายสิทธิศักดิ์ ยนต์ตระกูล,7,"145,883"
กาฬสินธุ์,นายเสรี พิจิตรศิริ,6,"20,019"
กำแพงเพชร,นายกฤช อาทิตย์แก้ว,2,"196,722"
กำแพงเพชร,นายจรัญ อิสระบัณฑิตกุล,6,"24,672"
กำแพงเพชร,นายสุชาติ อุดมรัตนศิริชัย,4,"4,577"
กำแพงเพชร,นายอุดม วราหะ,1,"29,199"
กำแพงเพชร,พ.ต.ท.สุพัฒน์ อาจทอง,5,"5,910"
ขอนแก่น,นายจุลนพ ทองโสภิต,1,"248,558"
ขอนแก่น,นายทศพร นิลศิริ,4,"10,001"
ขอนแก่น,นายทศพล พรหมกสิกร,10,"9,046"
ขอนแก่น,นายประเสริฐ ประคุณศึกษาพันธ์,9,"301,585"
ขอนแก่น,นายประเสริฐ สัจจาวิริยะ,7,"14,343"
ขอนแก่น,นายปานเทพ รตะจารุ,11,"4,320"
ขอนแก่น,นายวิวัฒน์ จันทร์เจริญ,6,"7,049"
ขอนแก่น,นายสมาน อินทรปพงศ์,12,"5,007"
ขอนแก่น,นายสวาท ศรีหาญชนะ,3,"9,387"
ขอนแก่น,นายสุนันท์ แสงนาค,8,"9,683"
ขอนแก่น,นายสุพรรณ แก้วหลวง,5,"18,598"
จันทบุรี,นายดุรงค์ฤทธิ์ วิเศษะภูติ,3,"9,294"
จันทบุรี,นายมงคล ศรีคำแหง,2,"120,507"
จันทบุรี,นายวีระ นามพระจันทร์,1,"71,247"
ฉะเชิงเทรา,นายทรงชัย รัตนสุบรรณ,4,"66,884"
ฉะเชิงเทรา,นายนิคม ไวยรัชพานิช,2,"92,758"
ฉะเชิงเทรา,นายอนุรักษ์ ศิริรักษ์,1,"12,871"
ฉะเชิงเทรา,พล.ต.อ.สมชาย วาณิชเสนี,3,"84,539"
ชลบุรี,นายกรกิจ วุฒิสมบูรณ์,5,"18,255"
ชลบุรี,นายจักรพันธ์ นาคลดา,7,"16,504"
ชลบุรี,นายฉัตรชัย แนวพญา,2,"20,117"
ชลบุรี,นายสมบัติ อุยตระกูล,6,"6,231"
ชลบุรี,นายสุรชัย ชัยตระกูลทอง,1,"168,676"
ชลบุรี,พล.ร.ต.หญิงดารา บุรสิกพงศ์,3,"49,033"
ชลบุรี,พล.ร.อ.สมภพ ภูริเดช,4,"49,836"
ชัยนาท,นางจิตร์ธนา ยิ่งทวีลาภา,7,"39,790"
ชัยนาท,นางอารี คำสวัสดิ์,4,"29,104"
ชัยนาท,นายชูชาติ กันภัย,3,"11,148"
ชัยนาท,นายประศาสน์ ชุ่มนาเสียว,5,"6,434"
ชัยนาท,นายวัลลภ ปัญโยยิ่ง,2,"16,014"
ชัยนาท,นายองอาจ หลำอุบล,1,"32,276"
ชัยภูมิ,นางพรทิพย์ จันทร์รัตนปรีดา,1,"256,860"
ชัยภูมิ,นายนพดล ฉัตรชัยพลรัตน์,2,"65,469"
ชัยภูมิ,นายศุภชัย เจริญจิต,4,"11,928"
ชัยภูมิ,นายอภิรักษ์ ชัยวิรัตนะ,3,"78,990"
ชุมพร,นายอดิศักดิ์ พุ่มพัว,3,"21,205"
ชุมพร,พ.ต.อ.ฉัตรภากร จันทรมงคล,1,"49,425"
ชุมพร,พล.ต.กลชัย สุวรรณบูรณ์,2,"123,599"
เชียงราย,นางจิราวรรณ จงสุทธนามณี วัฒนศิริธร,5,"215,185"
เชียงราย,นายชนะ ปานปุย,9,"12,539"
เชียงราย,นายณรงค์ฤทธิ์ อุ่นบ้าน,8,"6,089"
เชียงราย,นายปรีชา พัวนุกุลนนท์,7,"147,350"
เชียงราย,นายวิชัย เชษฐบดี,3,"10,549"
เชียงราย,นายศิริราช พัวพันวัฒนะ,6,"21,435"
เชียงราย,นายอาสา เม่นแย้ม,1,"37,335"
เชียงใหม่,นางสาวนิภาพรรณ สายทอง,4,"27,617"
เชียงใหม่,นายเกรียงเดช เจริญทรัพย์,10,"10,582"
เชียงใหม่,นายชูชัย เลิศพงศ์อดิศร,1,"171,090"
เชียงใหม่,นายธนณัฏฐ์ มีนะนันทน์,8,"3,476"
เชียงใหม่,นายบุญญฤทธิ์ ตุลาพันธ์พงศ์,6,"5,388"
เชียงใหม่,นายปราโมทย์ สมัครการ,3,"18,299"
เชียงใหม่,นายปิ่นนคร ศรีจันทร์,2,"31,058"
เชียงใหม่,นายพิเชฐ พิศุทธกุล,15,"24,008"
เชียงใหม่,นายภุชงค์ บุนนาค,5,"7,213"
เชียงใหม่,นายวีระยุทธ สุขวัฑฒโก,16,"9,459"
เชียงใหม่,นายสมทัย ศรีสุพรรณดิฐ,18,"8,124"
เชียงใหม่,นายสราวุฒิ แซ่เตี๋ยว,11,"136,793"
เชียงใหม่,นายสวัสดิ์ ศรีสุวรรณดี,9,"81,839"
เชียงใหม่,นายสวิง ตันอุด,12,"24,868"
เชียงใหม่,นายสุมิตร์ สุยะ,14,"12,080"
เชียงใหม่,นายอำนาจ กรุณา,17,"80,831"
เชียงใหม่,นายเอกพจน์ จันทรจรัส,13,"6,578"
เชียงใหม่,ม.ร.ว.เจริญสุข สุขสวัสดิ์,7,"16,216"
ตรัง,นายชวลา สัมพันธรัตน์,2,"111,949"
ตรัง,นายนฤทธิ์ พงศ์จรัสเกษม,4,"10,162"
ตรัง,นายเรวัตตะ ฮุนพงษ์สิมานนท์,1,"14,994"
ตรัง,นายวิเชียร คันฉ่อง,3,"133,814"
ตราด,นายชุมพล เลิศรัฐการ,3,"22,927"
ตราด,นายสุพจน์ เลียดประถม,4,"45,221"
ตราด,นายสุพัฒน์ จันทสุข,2,"6,574"
ตราด,นายเอนก ทองย้อย,1,"7,379"
ตาก,นายจักรี เพ็ญนิเวศน์สุข,5,"10,791"
ตาก,นายฉัตรชัย สร้อยสังวาลย์,4,"19,695"
ตาก,นายชรินทร์ หาญสืบสาย,3,"61,256"
ตาก,นายวีระ จุฑาคุปต์,2,"22,193"
ตาก,พ.ต.ท.จำลอง โสมาศรี,1,"58,963"
นครนายก,นายธวัชชัย บุญมา,3,"63,891"
นครนายก,นายบุญส่ง วรวัฒน์,2,"5,559"
นครนายก,นายพงษ์เดช วิบูลย์ธนสาร,1,"28,433"
นครนายก,นายมนัส สมจิตร,5,"3,392"
นครปฐม,นางอนงค์นารถ อัครสิทธิศักดิ์,8,"16,255"
นครปฐม,นายจักรี วรณะรัตน์,5,"8,688"
นครปฐม,นายธนาวัติ เขียวรุ้งเพชร,1,"48,305"
นครปฐม,นายสถิตย์ ทวีนุช,3,"8,777"
นครปฐม,นายสมชาติ พรรณพัฒน์,2,"142,274"
นครปฐม,นายสรรเสริญ หมายสวัสดิ์,6,"13,601"
นครปฐม,นายอภิวิชญ์ จินต์จันทรวงศ์,4,"8,260"
นครปฐม,พ.อ.อ.เจน สุทธะพินทุ,7,"7,509"
นครพนม,นายวิทยา อินาลา,3,"134,057"
