ผู้ได้รับการเสนอชื่อสรรหาเป็นสมาชิกวุฒิสภา,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
วันที่ 19 กุมภาพันธ์ 2551,,,,,,,
,,,,,,,
ภาคองค์กร,ผู้ได้รับการเสนอชื่อ,องค์กรที่เสนอชื่อ,เพศ,ช่วงอายุ,วุฒิการศึกษา,อาชีพ,ได้รับเลือก
ภาควิชาการ,นายกรสัณห์  กันยะพงศ์,สมาคมศิษย์เก่าบัณฑิตวิทยาลัย ม.มหิดล,ชาย,51-60 ปี,ปริญญาโท,ที่ปรึกษา,
ภาควิชาการ,นางกอบกุล  พันธ์เจริญวรกุล,มูลนิธิคณะพยาบาลศาสตร์ มหาวิทยาลัยมหิดลฯ,หญิง,51-60 ปี,ปริญญาเอก,ที่ปรึกษา,1
ภาควิชาการ,นางกาญจนา (เด่นอุดม)หอมชื่น,มูลนิธิเพื่อการศึกษาโรงเรียนอามานะศักดิ์,หญิง,61-70 ปี,ปริญญาตรี,ธุรกิจส่วนตัว / ค้าขาย,
ภาควิชาการ,นายกานต์  จั่วกี่,สมาคมครู-ผู้ปกครอง-ศิษย์เก่าโรงเรียนทับกวาง,ชาย,51-60 ปี,ปริญญาโท,ธุรกิจส่วนตัว / ค้าขาย,
ภาควิชาการ,นางขัตติยา  กรรณสูต,สมาคมไทยอเมริกัน,หญิง,71-80 ปี,ปริญญาเอก,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,นางเขมสิริ  ประภามนตรีพงศ์,สมาคมครูอนุบาลสมุทรปราการ,หญิง,51-60 ปี,ปริญญาเอก,ที่ปรึกษา,
ภาควิชาการ,นายคณิน  บุญสุวรรณ,มูลนิธิมานะหุ่นอยู่วิทยา,ชาย,61-70 ปี,ปริญญาโท,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,นายคำนูณ สิทธิสมาน,มูลนิธิส่งเสริมนโยบายศึกษา,ชาย,51-60 ปี,ปริญญาตรี,วิชาชีพ,1
ภาควิชาการ,นางงามชื่น  รัตนดิลก,มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตกำแพงแสน,หญิง,61-70 ปี,ปริญญาเอก,ข้าราชการบำนาญ,
ภาควิชาการ,นายจรัล  ทองเกษม,มูลนิธิบำเพ็ญสาธารณประโยชน์ด้านกิจกรรมทางศาสนา,ชาย,61-70 ปี,ปริญญาเอก,ข้าราชการบำนาญ,
ภาควิชาการ,พลเอกจรีเมธ  สุพรรณโรจน์,สมาคมผู้ปกครองและครูโรงเรียนสารวิทยา,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายจอมจิน  จันทรสกุล,มหาวิทยาลัยอุบลราชธานี,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นางสาวจันทร์เพ็ญ ชูประภาวรรณ,สมาคมนักวิจัยไทยเพื่อการพัฒนาเด็กและครอบครัว,หญิง,51-60 ปี,ปริญญาโท,แพทย์,
ภาควิชาการ,นายจำนงค์  ทองประเสริฐ,สมาคมศิษย์เก่ามหาวิทยาลัยมหาจุฬาลงกรณ์ราชวิทยาลัย,ชาย,71-80 ปี,ปริญญาเอก,นักวิชาการ / ครู / อาจารย์,
