การใช้สิทธิเลือกตั้งสมาชิกวุฒิสภา นอกราชอาณาจักร,Unnamed: 1,Unnamed: 2,Unnamed: 3
วันที่ 11-24 กุมภาพันธ์ 2551,,,
,,,
ประเทศ,เมือง,จำนวนผู้มีสิทธิในการเลือกตั้ง,จำนวนผู้มาใช้สิทธิเลือกตั้ง
กรีซ,"กรุงเอเธนส์, มอลตา",178,105
กัมพูชา,กรุงพนมเปญ,689,156
กาตาร์,กรุงโดฮา,"2,740",520
เกาหลีใต้,กรุงโซล,"1,529",322
คูเวต,คูเวต,"3,299","1,344"
เคนยา,กรุงไนโรบี,78,65
แคนาดา,กรุงออตตาวา,431,201
แคนาดา,นครแวนคูเวอร์,455,178
จอร์แดน,กรุงอัมมาน,140,75
จีน,กรุงปักกิ่ง,587,112
จีน,นครกวางโจว,244,36
จีน,นครคุนหมิง,247,56
จีน,นครเซี่ยงไฮ้,358,122
จีน,นครซีอาน,11,8
จีน,นครเฉิงตู,84,24
จีน,นครหนานหนิง,111,67
จีน,เมืองเซี่ยเหมิน,191,28
จีน,เมืองฮ่องกง,"4,197","1,672"
ชิลี,กรุงซันติอาโก,27,8
เช็ก,กรุงปราก,256,201
ซาอุดีอาระเบีย,เมืองเจดดาห์,"3,950",588
ซาอุดีอาระเบีย,กรุงริยาด,823,382
เซเนกัล,กรุงดาการ์,19,14
ญี่ปุ่น,กรุงโตเกียว,"2,067","1,241"
ญี่ปุ่น,นครโอซากา,638,280
เดนมาร์ก,กรุงโคเปนเฮเกน,489,337
ตุรกี,กรุงอังการา,239,123
สาธารณรัฐประชาธิปไตยติมอร์ตะวันออก,กรุงดิลี,88,53
ไต้หวัน,ไทเป,"3,966","2,044"
นอร์เวย์,กรุงออสโล,359,225
นิวซีแลนด์,กรุงเวลลิงตัน,492,167
เนเธอร์แลนด์,กรุงเฮก,519,386
เนปาล,กรุงกาฐมาณฑุ,30,24
ไนจีเรีย,กรุงอาบูจา,51,30
บราซิล,กรุงบราซิเลีย,21,9
บรูไน,บันดาร์เสรีเบกาวัน,"2,449",655
บาห์เรน,กรุงมานามา,958,172
บังคลาเทศ,กรุงธากา,123,71
เบลเยียม,กรุงบรัสเซลส์,807,277
ปากีสถาน,กรุงอิสลามาบัด,190,122
ปากีสถาน,เมืองการาจี,130,88
เปรู,กรุงลิมา,8,7
โปรตุเกส,กรุงลิสบอน,109,92
โปแลนด์,กรุงวอร์ซอ,88,72
ฝรั่งเศส,กรุงปารีส,"1,672",967
พม่า,กรุงย่างกุ้ง,197,109
ฟิลิปปินส์,"กรุงมะนิลา, ปาเลา",158,121
ฟินแลนด์,กรุงเฮลซิงกิ,368,211
มาดากัสการ์,กรุงอันตานานาริโว,108,59
มาเลเซีย,กรุงกัวลาลัมเปอร์,"2,167",926
มาเลเซีย,เมืองโกตาบารู,220,155
มาเลเซีย,เมืองปีนัง,477,171
เม็กซิโก,กรุงเม็กซิโก,33,28
โมร็อกโก,กรุงราบัต,139,116
เยอรมนี,กรุงเบอร์ลิน,"2,348","1,487"
เยอรมนี,นครแฟรงก์เฟิร์ต,"4,408","3,581"
รัสเซีย,"กรุงมอสโก, คาซัคสถาน",590,428
โรมาเนีย,กรุงบูคาเรสต์,25,13
ลาว,เวียงจันทน์,"1,499",713
ลาว,สะหวันนะเขต,777,362
เวียดนาม,กรุงฮานอย,150,96
เวียดนาม,นครโฮจิมินห์,347,89
ศรีลังกา,กรุงโคลัมโบ,144,47
สเปน,กรุงมาดริด,198,153
สวิตเซอร์แลนด์,กรุงเบิร์น,802,575
สวีเดน,กรุงสตอกโฮล์ม,"1,260",856
สหรัฐอเมริกา,กรุงวอชิงตัน,"1,439",965
สหรัฐอเมริกา,นครชิคาโก,"1,261",727
สหรัฐอเมริกา,นครนิวยอร์ก,779,380
สหรัฐอเมริกา,นครลอสแอนเจลิส,"4,744","3,143"
สหรัฐอาหรับเอมิเรสต์,กรุงอาบูดาบี,"1,884","1,327"
สหรัฐอาหรับเอมิเรสต์,เมืองดูไบ,"2,939","1,034"
สิงคโปร์,สิงคโปร์,"7,542","3,136"
ออสเตรเลีย,กรุงแคนเบอร์รา,"1,038",543
ออสเตรเลีย,นครซิดนีย์,"1,909",463
ออสเตรีย,กรุงเวียนนา,"1,281",908
อังกฤษ,กรุงลอนดอน,"2,296","1,584"
แอฟริกาใต้,กรุงพริทอเรีย,442,233
อาร์เจนตินา,กรุงบูเอโนสไอเรส,25,15
อิตาลี,กรุงโรม,"1,126",770
อินเดีย,กรุงนิวเดลี,621,552
อินเดีย,เมืองกัลกัตตา,160,116
อินเดีย,เมืองมุมไบ,176,103
อินเดีย,เมืองเจนไน,188,113
อินโดนีเซีย,กรุงจาการ์ตา,330,219
อิสราเอล,กรุงเทลอาวีฟ,"5,238","1,898"
อิหร่าน,กรุงเตหะราน,144,69
อียิปต์,กรุงไคโร,"1,179",420
โอมาน,กรุงมัสกัต,764,522
ฮังการี,กรุงบูดาเปสต์,148,111
