ลำดับ,เลขทะเบียนโรงงาน,ชื่อโรงงาน,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,โทรศัพท์,เงินทุนรวม,คนงาน,แรงม้า
2,3-101-1/40,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),"บำบัดน้ำทิ้งรวมได้ 4,000 ลูกบาศก์เมตร/วัน",เลขที่ 48,9,-,สุวินทวงศ์,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,10510.0,989-4050-62,43100000,10,356.0
3,3-101-1/45,บริษัท มหาจักรออโตพาร์ท จำกัด,ปรับคุณภาพน้ำเสียรวม,เลขที่ 67/16,5,-,เชื่อมสัมพันธ์,โคกแฝด,หนองจอก,กรุงเทพมหานคร,10530.0,02-543-1212,0,6,109.4
4,3-101-1/47,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด (มหาชน),ปรับคุณภาพของเสียรวม,เลขที่ 68/39,3,แสมดำ 17,พระรามที่ 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150.0,,127500000,23,862.2
5,3-101-2/38,บริษัท บริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด,ปรับคุณภาพของเสียรวม คัดแยกวัสดุที่ไม่ใช้แล้ว ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และประกอบกิจการทำวัสดุและเชื้อเพลิงผสมจากของเสียประเภทต่าง ๆ (BLENDING),เลขที่ 68/39,3,วัดแสมดำ,พระรามที่ 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150.0,4153728,5000000,82,439.0
6,3-101-4/41,บริษัท อาหารยอดคุณ จำกัด,บำบัดน้ำเสียอันเกิดจากกระบวนการผลิตรวมทั้งน้ำเสียอื่นๆของริษัทอาหารยอดคุณจำกัดและบริษัทยูนิแชมป์จำกัด,เลขที่ 9,,,นิมิตใหม่,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,10510.0,02-181-0036-45,8035000,1,83.05
7,3-105-107/59,บริษัท เจดีย์ไทย เปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 11,,เอกชัย 114 (อมรพฤกษ์),,บางบอน,บางบอน,กรุงเทพมหานคร,10150.0,,5500000,13,191.0
8,3-105-11/59,ห้างหุ้นส่วนจำกัด ทศภัทร แมททีเรียล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 286,,,มาเจริญ,หนองแขม,หนองแขม,กรุงเทพมหานคร,10160.0,818031474,6000000,25,167.25
9,3-105-119/48,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษกระดาษ อัดเศษพลาสติก และตัดเศษโลหะ,เลขที่ 51,,แสนสบาย,-,คลองตัน,คลองเตย,กรุงเทพมหานคร,10110.0,,13200000,20,130.0
10,3-105-13/49,นางสาวกลิ่นสุคนธ์ ฉัตรเจริญสุข,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตรายตามประกาศกระทรวงอุตสาหกรรม เรื่อง การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว พ.ศ.2548,เลขที่ 98,,,เลียบคลองมอญ,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,10520.0,,53000000,20,349.22
11,3-105-13/60,บริษัท วาไรตี้ อินเตอร์พลาส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 101,,,,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10120.0,,120000000,40,371.0
12,3-105-14/59,บริษัท พี.วี.สตีล รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 547,,,พระราม2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150.0,0 2452 2824,78000000,8,1053.0
13,3-105-20/59,บริษัท จ.ทวีโชค จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 518/29,,รามคำแหง 39(เทพลีลา1),,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,10310.0,29348025,16500000,14,815.0
14,3-105-20/60,บริษัท พี.ซี.ไอ.เปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 117,7,,,สายไหม,สายไหม ,กรุงเทพมหานคร,10270.0,,31600000,8,375.0
15,3-105-22/59,บริษัท กวงเซ่งหลี จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 88/71-72,3,กำนันแม้น,เอกชัย,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,10150.0,,5000000,14,585.0
16,3-105-3/60,บริษัท คูซุ่นฮวด จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 60/50,3,,เสรีไทย,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,10240.0,,1900000,7,89.0
17,3-105-30/60,บริษัท เอ.ที.อี. เทเลคอม คอนสตรัคชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 30/12,11,เฉลิมพระเกียรติ 30,เฉลิมพระเกียรติ ,ดอกไม้,ประเวศ,กรุงเทพมหานคร,10250.0,,7000000,7,52.5
