สรุปอัตราความเร็วเฉลี่ยของรถยนต์ส่วนบุคคล พ.ศ. 2558 (ช่วงเร่งด่วนเช้า 06.00-09.00 น.),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
ลำดับที่,ชื่อถนน (ขาเข้าเมือง),อัตราความเร็วเฉลี่ย (กม./ชม.),,
1,กรุงธนบุรี (กรุงธนบุรี - สุรศักดิ์),5.1,,
2,พระราม 9 (รามคำแหง - พระราม 9),9.7,,
3,เจริญกรุง (ถนนตก - สุรวงศ์),10.6,,
4,ราชวิถี (บางพลัด - อุภัย),10.8,,
5,สุขุมวิท ชั้นใน (อโศก - นานา),10.8,,
6,พระราม 5 (เตชะวนิช-ราชวิถี),12,,
7,อโศก - ดินแดง (พระราม 9 - อนุสาวรีย์ชัยฯ),12.2,,
8,มไหสวรรย์ (มไหสวรรย์ - ถนนตก),12.3,,
9,ราชวิถี ชั้นใน (อุภัย - อนุสาวรีย์ชัยฯ),12.4,,
10,สมเด็จพระเจ้าตากสิน (พระราม 2 - กรุงธนบุรี),12.4,,
11,บรมราชชนนี (สายใต้ใหม่ - บรมราชชนนี),12.7,,
12,พระราม 4 ชั้นใน (เกษมราษฎร์ - หัวลำโพง),13.1,,
13,ลาดพร้าว (บางกะปิ - ลาดพร้าว),13.5,,
14,สิรินธร-ถ.ปิ่นเกล้า-นครชัยศรี (วงแหวนฯ - บางพลัด),13.9,,
15,พระราม 1 (ราชประสงค์ - พงษ์พระราม),14,,
16,ประชาชื่น (พงษ์เพชร - เฉลิมพันธ์),14.2,,
17,เพชรบุรี ชั้นใน (อโศกเพชรฯ - อุรุพงษ์),15.8,,
18,เพชรบุรี (เอกมัย - อโศกเพชรฯ),16.0,,
19,สุขุมวิท (บางนา - อโศก),16.1,,
20,พระราม 4 (พระโขนง - เกษมราษฎร์),16.5,,
21,เพลินจิต (นานา - ราชประสงค์),16.6,,
22,พหลโยธิน (อนุสาวรีย์หลักสี่ - อนุสาวรีย์ชัยฯ),16.9,,
23,เพชรเกษม (พุทธมณฑลสาย 2 - ท่าพระ),17.1,,
24,พญาไท (อนุสาวรีย์-สามย่าน),17.8,,
25,พระราม 5 ชั้นใน (ราชวิถี - พาณิชย์),20.5,,
26,ราชดำเนินกลาง (ผ่านพิภพ - ผ่านฟ้า),22.4,,
27,สมเด็จพระปิ่นเกล้า (บรมราชชนนี - ผ่านพิภพ),24.5,,
28,วงแหวนรัชดาภิเษก,30.8,,
29,วิภาวดีรังสิต (หลักสี่ - ด่วนดินแดง),32,,
ที่มา : สำนักงานนโยบายและแผนการขนส่งและจราจร กองจัดระบบการจราจรทางบก ,,,,
        ทำการสำรวจโดยวิธีบันทึกหมายเลขป้ายทะเบียนรถยนต์ (License Plate Method) ในช่วงระหว่างเดือนกรกฎาคม-ตุลาคม,,,,
